sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
WSH117,185,-0.17642214881252674,0.009773520947250975,0.031711873687211456,0.0485734196638166,0.06385671708153673,-0.004713151240175522,0.010894881996375488,0.0031839220248733465,6.114789256901049e-05,-0.004137370168571553,0.0010728871236810762,-6.24011350205391e-05,4.962032455373519e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH086,186,-0.41227708167209093,-0.020552197953290458,0.019888364429643927,0.009278338469693236,-0.015108273878389358,-0.011868062468920986,-0.01587021507303647,0.014177182433039887,-0.004878965731400391,0.0032733409413374134,0.0004041982585190655,-0.00041239900470412173,0.00038921981123140936,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH125,187,0.09752391406887338,-0.01671082773230887,0.01309132577834764,-0.002165459175505396,-0.00215874673688112,-0.0014250349338295926,-0.0029510454847983254,0.0029978490549519656,0.004628592584364697,-0.0006435548486055595,-0.0017479140544670443,-0.0013237064234212213,-0.003695480271850599,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH095,188,0.09720073656004306,-0.01724269624760309,0.016139282711595353,-0.003966097389330772,-0.0018181863419627522,-0.011339972491367272,0.004497668800608444,-0.005723735372172929,-0.001666569201435302,0.004164172285323427,-0.0024006255642748642,0.0007615694164174752,0.0017165639482885256,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH128,191,-0.018365551391788436,0.1006247789618989,0.039367406091779036,-0.019565317963006295,0.02723650693319911,0.008747461760928735,-0.012724492552696405,-0.009207552250905155,0.0027040021684540316,0.005117588091002326,-0.0008973770064306569,0.00035932676416120034,-0.00025142728284276215,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH091,192,0.09590227294877054,0.0035993146025075796,-0.017136550614076967,0.02075088963982104,-0.008245737952229746,0.0040605219873339265,-0.005506078648425447,-0.0046828911095677436,-0.005519582221917739,-0.006332069632955154,0.004079250081372164,-0.00039062982206403596,0.0010902910233505198,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH118,195,0.09740287739647543,-0.018710883439672955,0.014549811256710676,-0.00412596065816744,-0.0019557168631417435,-0.010256292416313161,0.0025761563596661385,0.0031124455636797094,0.008248747059219819,-0.0013352059989736882,0.0020887722011401757,-0.0009259856509813727,0.0021505172454411056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH087,196,-0.10163565474997098,0.12841831837133566,-0.04901647497104678,0.027547392997203272,-0.005408663179484012,-0.0019197674204212319,0.002073511517281376,-0.001500607395668736,-0.0006541162712467626,-7.3179737710819436e-06,-0.0007550937499586439,-0.0001700599513571124,4.432882797101715e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH120,199,0.0972975386734272,-0.016432509299813613,0.01524810556851922,-0.0034990478937021703,-0.000974947708193264,3.200261860114666e-05,-0.01041358818872599,-0.0043351306034057156,0.0009868034895015182,-0.01059801365612644,-0.0010607299522392545,-0.0019098731411679472,0.00011477328368578775,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH103,200,0.09729045980489937,-0.01667817144968445,0.015297177147777273,-0.0029693282293550387,-0.0021428606400893824,-0.008764743378260251,0.0030112599150109837,-0.004983948975969894,0.0007762868521631037,0.00653441322999798,0.0032687664048944784,-0.002180974530868576,0.0001559863120267213,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
