sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
WSH117,185,-0.40743447330348204,0.018020480825559397,-0.07412584092931723,0.0813238912231101,0.003441122703248087,0.0004315537105434696,0.014765611381321804,-0.001614125918422382,-0.00010256622015761209,6.091530704066329e-05,0.00034920421664102395,1.4466616126982919e-05,8.43556222582491e-06,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH086,186,-0.8027008266063125,0.009282449050061342,-0.03942813931519019,-0.036799702023062444,-0.005321701284324748,0.0030877926212874614,-0.01743232996021488,0.00010787119436376008,-0.00012884783373428606,-0.00042238456090826443,-0.00016759089552810606,5.2720708380678386e-05,6.599226913276814e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH125,187,0.18114224982426474,-0.019652865312615897,-0.005946908669219819,-0.0025056411448854034,-0.005264317820387484,-0.0010292111795069656,-0.0013480220579810754,-0.00039852193404291895,-0.0023757126767259174,-0.0042413642423275305,0.0028098322948451417,-0.0006810284113923247,-0.0016951689212227256,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH095,188,0.16918992195019575,-0.018552216066623398,-0.006228250452582612,-0.0012474208770172817,-0.01667518937534694,0.00015822536204026746,-0.0020805583063392757,-0.005300149234231884,0.0019947135977980233,0.0013465882000812475,-0.0029564133325650907,0.0010465511987894508,0.001165431699874736,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH128,191,0.05415237283952842,0.1247560816815945,-0.01922289509613144,0.030213380831277288,-0.020143692258569424,0.006075592706537604,-0.020054977139669635,0.003332290114064178,0.0003626089451707706,-0.00014887875596307623,-0.00057484248988744,-4.4865922101263575e-05,2.1743615072053814e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH091,192,0.19049679782237533,-0.01745318403449266,-0.008912685542607487,-0.007057121793111116,0.020286457424380955,0.005495195996383088,0.00415636706081361,0.010284836577619777,0.002718421394835091,0.003496938856936045,-0.00017334218104710338,-0.0011219102226815848,0.0008848678981053134,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH118,195,0.17521268591358435,-0.020421782862398923,-0.005170595980156456,-0.0006322034214126921,-0.015855670054688336,0.005455568479618795,-0.0007441713762087787,-0.007264118725256184,-0.002371513190094977,0.0018177643845238144,0.002697566355847378,-0.0013379709238114904,0.0006486477664439265,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH087,196,-0.05991060555132745,0.13708937420001505,0.0032840313798408955,-0.029301790597152343,0.05400586473760183,-0.015602849529721996,-0.000835695752931056,-0.0031700514277159504,-0.0008205047140578287,0.00021049860931329658,4.6139797342382034e-05,3.290686522739635e-05,2.092739801624634e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH120,199,0.17797349344651153,-0.0193729853299483,-0.008441191457092809,-0.002163323735470154,-0.009510655482525067,0.003926511818636972,-0.0015735653706326932,0.013037419180364395,0.0039046544619039283,0.0021273971870684515,0.0035311485293544166,0.00027608630412471514,-0.0009355771789667227,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH103,200,0.1717723453194952,-0.019137118827546106,-0.006876296266227037,-0.0012626254775821707,-0.016305031163450983,0.0012971282850404982,-0.001497527183220021,-0.004125275832044757,0.002561884152603813,0.0007682381503237446,-0.004516637418981166,-0.0012502000529986438,-0.002438782701669003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH122,205,-0.7626886091309136,0.024692384567736245,0.07252619801961575,0.046043255198134625,0.0052471026958251015,-0.002328125122380028,0.003941439931804961,0.0011397359838533324,0.0001269114007094556,7.301333676014948e-05,-8.950640417466103e-05,-5.185204098030394e-05,-4.768189719867296e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH105,206,-0.12234628662864704,0.13617967466660968,0.025550257453963603,-0.05209579111834824,-0.036912780655748566,0.008816359000398712,0.019359278709383306,0.00035259725748281535,0.0005401390884984961,1.4122341747955076e-05,0.00047333512871825564,-6.4508466474663895e-06,-7.045731554239517e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH111,207,0.18346434756031227,-0.019245821370830894,-0.006489090172132824,-0.0044785095699526505,0.02109744652238272,-0.0032010118856229245,-0.0043221811104195524,-0.009500617945620932,0.0001696284977272766,0.002042020818454466,0.0021199002701024,0.0009055075140823859,-0.0015408389249541477,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH089,208,0.162432423560591,-0.023388707382232463,0.06312548226568662,0.02362311850254553,0.022694170823717427,0.006999979237238557,-0.007753943848905304,0.000991514576902954,0.0018632122521661087,-0.00011397410444335462,0.0006111887289292186,0.00019220888760783703,0.00017362278037210495,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
