Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
2895194,17/9/19 15:35:53,0.000,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.652,µmol/L,28.711,¡C,1014.000,hPa,Humid,34,0
2895204,17/9/19 15:35:57,0.051,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.910,µmol/L,28.700,¡C,1014.000,hPa,Humid,34,0
2895214,17/9/19 15:36:00,0.100,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,215.026,µmol/L,28.692,¡C,1014.000,hPa,Humid,34,0
2895225,17/9/19 15:36:03,0.151,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.667,µmol/L,28.699,¡C,1014.000,hPa,Humid,34,0
2895235,17/9/19 15:36:06,0.201,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.213,µmol/L,28.697,¡C,1014.000,hPa,Humid,34,0
2895245,17/9/19 15:36:09,0.250,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.260,µmol/L,28.706,¡C,1014.000,hPa,Humid,34,0
2895255,17/9/19 15:36:12,0.300,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.842,µmol/L,28.704,¡C,1014.000,hPa,Humid,34,0
2895264,17/9/19 15:36:15,0.351,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.749,µmol/L,28.699,¡C,1014.000,hPa,Humid,34,0
2895275,17/9/19 15:36:18,0.401,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.970,µmol/L,28.698,¡C,1014.000,hPa,Humid,34,0
2895284,17/9/19 15:36:21,0.451,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,215.142,µmol/L,28.688,¡C,1014.000,hPa,Humid,34,0
2895295,17/9/19 15:36:24,0.500,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.540,µmol/L,28.705,¡C,1014.000,hPa,Humid,34,0
2895304,17/9/19 15:36:27,0.552,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),17/9/19 12:38:41,default,214.702,µmol/L,28.706,¡C,1014.000,hPa,Humid,34,0
