ColonyID,Timepoint,Species,Site,Pair,Bleach,Sample.ID,forward,reverse
209,2019-12-04,Montipora capitata,13,11,Bleach,WSH092,WSH092_S48_L001_R1_001.fastq.gz,WSH092_S48_L001_R2_001.fastq.gz
210,2019-07-19,Montipora capitata,13,11,Non-bleach,WSH115,WSH115_S170_L001_R1_001.fastq.gz,WSH115_S170_L001_R2_001.fastq.gz
210,2019-12-04,Montipora capitata,13,11,Non-bleach,WSH107,WSH107_S169_L001_R1_001.fastq.gz,WSH107_S169_L001_R2_001.fastq.gz
211,2019-07-19,Montipora capitata,13,12,Bleach,WSH122,WSH122_S159_L001_R1_001.fastq.gz,WSH122_S159_L001_R2_001.fastq.gz
211,2019-12-04,Montipora capitata,13,12,Bleach,WSH105,WSH105_S145_L001_R1_001.fastq.gz,WSH105_S145_L001_R2_001.fastq.gz
212,2019-07-19,Montipora capitata,13,12,Non-bleach,WSH111,WSH111_S122_L001_R1_001.fastq.gz,WSH111_S122_L001_R2_001.fastq.gz
212,2019-12-04,Montipora capitata,13,12,Non-bleach,WSH089,WSH089_S12_L001_R1_001.fastq.gz,WSH089_S12_L001_R2_001.fastq.gz
217,2019-07-19,Montipora capitata,13,13,Bleach,WSH119,WSH119_S123_L001_R1_001.fastq.gz,WSH119_S123_L001_R2_001.fastq.gz
217,2019-12-04,Montipora capitata,13,13,Bleach,WSH088,WSH088_S95_L001_R1_001.fastq.gz,WSH088_S95_L001_R2_001.fastq.gz
218,2019-07-19,Montipora capitata,13,13,Non-bleach,WSH126,WSH126_S112_L001_R1_001.fastq.gz,WSH126_S112_L001_R2_001.fastq.gz
218,2019-12-04,Montipora capitata,13,13,Non-bleach,WSH106,WSH106_S157_L001_R1_001.fastq.gz,WSH106_S157_L001_R2_001.fastq.gz
219,2019-07-19,Montipora capitata,13,14,Bleach,WSH109,WSH109_S98_L001_R1_001.fastq.gz,WSH109_S98_L001_R2_001.fastq.gz
219,2019-12-04,Montipora capitata,13,14,Bleach,WSH093,WSH093_S60_L001_R1_001.fastq.gz,WSH093_S60_L001_R2_001.fastq.gz
220,2019-07-19,Montipora capitata,13,14,Non-bleach,WSH123,WSH123_S171_L001_R1_001.fastq.gz,WSH123_S171_L001_R2_001.fastq.gz
220,2019-12-04,Montipora capitata,13,14,Non-bleach,WSH094,WSH094_S72_L001_R1_001.fastq.gz,WSH094_S72_L001_R2_001.fastq.gz
221,2019-07-19,Montipora capitata,13,15,Bleach,WSH121,WSH121_S147_L001_R1_001.fastq.gz,WSH121_S147_L001_R2_001.fastq.gz
221,2019-12-04,Montipora capitata,13,15,Bleach,WSH101,WSH101_S97_L001_R1_001.fastq.gz,WSH101_S97_L001_R2_001.fastq.gz
222,2019-07-19,Montipora capitata,13,15,Non-bleach,WSH114,WSH114_S158_L001_R1_001.fastq.gz,WSH114_S158_L001_R2_001.fastq.gz
222,2019-12-04,Montipora capitata,13,15,Non-bleach,WSH096,WSH096_S96_L001_R1_001.fastq.gz,WSH096_S96_L001_R2_001.fastq.gz
3,2019-07-19,Montipora capitata,13,1,Bleach,WSH113,WSH113_S146_L001_R1_001.fastq.gz,WSH113_S146_L001_R2_001.fastq.gz
3,2019-12-04,Montipora capitata,13,1,Bleach,WSH108,WSH108_S181_L001_R1_001.fastq.gz,WSH108_S181_L001_R2_001.fastq.gz
4,2019-07-19,Montipora capitata,13,1,Non-bleach,WSH124,WSH124_S183_L001_R1_001.fastq.gz,WSH124_S183_L001_R2_001.fastq.gz
4,2019-12-04,Montipora capitata,13,1,Non-bleach,WSH090,WSH090_S24_L001_R1_001.fastq.gz,WSH090_S24_L001_R2_001.fastq.gz
