ColonyID,Species,Site,Pair,Bleach,Date,Airbrush Date,volume (mL),Notes.x,Squares counted,Notes.y,Tech,Date Counted,CV,rep,count,count_mean,cells.mL,cells
202,Montipora capitata,13,9,Non-bleach,2019-12-04,20220321,11,NA,4,NA,Kristen,20220421,7.549229553289627,Count2,188,197.5,493750,5431250
203,Montipora capitata,13,10,Bleach,2019-12-04,20220411,14,NA,6,NA,Kristen,20220421,10.554307094136776,Count2,188,163.16666666666666,271944.44444444444,3807222.222222222
204,Montipora capitata,13,10,Non-bleach,2019-12-04,20220321,17.5,2 tubes,9,NA,Kristen,20220421,12.964951397008301,Count2,199,186.16666666666666,206851.85185185182,3619907.4074074067
209,Montipora capitata,13,11,Bleach,2019-12-04,20220321,11.5,7 + Bag leaked ~4-5 mL spilled out,9,dropped count: 94,Kristen,20220421,17.681567341771743,Count2,169,162.33333333333334,180370.3703703704,2074259.2592592596
210,Montipora capitata,13,11,Non-bleach,2019-12-04,20220321,4.5,NA,9,dropped count: 100,Kristen,20220421,23.228349339067382,Count2,189,173.33333333333334,192592.5925925926,866666.6666666667
211,Montipora capitata,13,12,Bleach,2019-12-04,20220321,12,NA,7,NA,Kristen,20220421,14.287769032425302,Count2,180,180.33333333333334,257619.04761904763,3091428.571428572
212,Montipora capitata,13,12,Non-bleach,2019-12-04,20220321,8,NA,4,dropped count: 213,Kristen,20220421,14.516567889030933,Count2,192,161.16666666666666,402916.6666666666,3223333.333333333
217,Montipora capitata,13,13,Bleach,2019-12-04,20220413,13.5,nasty stuff from homogenizer..? Homogenate turned darker grey,7,NA,Kristen,20220427,14.394311230046439,Count2,165,200.16666666666666,285952.38095238095,3860357.1428571427
218,Montipora capitata,13,13,Non-bleach,2019-12-04,20220411,16,2 tubes,4,NA,Kristen,20220427,14.054449343837907,Count2,135,122,305000,4880000
219,Montipora capitata,13,14,Bleach,2019-12-04,20220321,15,NA,2,dropped count: 184,Kristen,20220427,19.921637401388885,Count2,160,125.16666666666667,625833.3333333334,9387500
220,Montipora capitata,13,14,Non-bleach,2019-12-04,20220321,7,NA,4,NA,Emma,20220419,12.660590326660623,Count2,151,150.66666666666666,376666.6666666666,2636666.6666666665
221,Montipora capitata,13,15,Bleach,2019-12-04,20220321,10,NA,6,NA,Kristen,20220427,11.853302127687794,Count2,128,159,265000,2650000
222,Montipora capitata,13,15,Non-bleach,2019-12-04,20220321,10.5,NA,4,NA,Kristen,20220427,7.258693940072515,Count2,163,170.83333333333334,427083.3333333334,4484375
