sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
WSH217	16375	2097	12.81	1929	519	3.17	519	3.17
WSH218	15051	2039	13.55	1897	413	2.74	413	2.74
WSH219	18391	1654	8.99	1494	547	2.97	547	2.97
WSH220	20780	1739	8.37	1604	674	3.24	674	3.24
WSH221	23828	2997	12.58	2871	970	4.07	931	3.91
WSH222	28489	3143	11.03	2989	1119	3.93	1119	3.93
WSH223	14017	2171	15.49	2026	496	3.54	496	3.54
WSH224	25899	3207	12.38	3067	1087	4.2	1087	4.2
WSH225	11987	1560	13.01	1395	348	2.9	348	2.9
WSH226	15451	2369	15.33	2150	586	3.79	586	3.79
WSH227	29093	5798	19.93	5692	4476	15.39	4374	15.03
WSH228	27312	3376	12.36	3265	2393	8.76	2308	8.45
WSH229	27110	3091	11.4	2975	840	3.1	771	2.84
WSH230	24524	6685	27.26	6495	4066	16.58	4012	16.36
WSH231	10055	2081	20.7	1963	1248	12.41	1248	12.41
WSH232	21003	2228	10.61	2119	625	2.98	625	2.98
WSH233	16075	1889	11.75	1740	450	2.8	450	2.8
WSH234	42339	18038	42.6	17817	14391	33.99	14217	33.58
WSH235	34388	3173	9.23	3071	1548	4.5	1547	4.5
WSH236	18403	1647	8.95	1529	428	2.33	428	2.33
WSH237	42602	2776	6.52	2634	1656	3.89	1502	3.53
WSH238	38683	5640	14.58	5449	3834	9.91	3718	9.61
WSH239	23351	1815	7.77	1686	789	3.38	718	3.07
WSH240	25862	3049	11.79	2906	913	3.53	913	3.53
WSH241	20157	1104	5.48	1033	454	2.25	393	1.95
WSH242	13127	1417	10.79	1272	640	4.88	603	4.59
WSH243	18852	1246	6.61	1172	545	2.89	482	2.56
WSH244	21649	1790	8.27	1660	787	3.64	730	3.37
WSH245	9934	1741	17.53	1590	1084	10.91	1084	10.91
WSH246	15325	1692	11.04	1570	758	4.95	758	4.95
WSH247	20776	3715	17.88	3594	2706	13.02	2644	12.73
WSH248	17352	1927	11.11	1769	575	3.31	575	3.31
WSH249	12141	1611	13.27	1493	816	6.72	816	6.72
WSH250	24420	1718	7.04	1535	933	3.82	836	3.42
WSH251	23769	2472	10.4	2268	1229	5.17	1229	5.17
WSH252	20864	1516	7.27	1398	517	2.48	517	2.48
WSH253	39163	9599	24.51	9516	7731	19.74	7630	19.48
WSH254	34397	8743	25.42	8672	7075	20.57	6988	20.32
WSH255	21618	1817	8.41	1629	569	2.63	569	2.63
WSH256	36252	2537	7	2434	1991	5.49	1858	5.13
