sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
WSH217	16375	2469	15.08	2264	603	3.68	603	3.68
WSH218	15051	2332	15.49	2173	442	2.94	442	2.94
WSH219	18391	1897	10.31	1770	622	3.38	622	3.38
WSH220	20780	2048	9.86	1919	763	3.67	763	3.67
WSH221	23828	3406	14.29	3280	1042	4.37	1042	4.37
WSH222	28489	3602	12.64	3450	1201	4.22	1201	4.22
WSH223	14017	2545	18.16	2394	571	4.07	571	4.07
WSH224	25899	3800	14.67	3646	1249	4.82	1249	4.82
WSH225	11987	1788	14.92	1658	415	3.46	415	3.46
WSH226	15451	2660	17.22	2423	606	3.92	606	3.92
WSH227	29093	6124	21.05	5999	4740	16.29	4740	16.29
WSH228	27312	3680	13.47	3535	2454	8.99	2454	8.99
WSH229	27110	3544	13.07	3411	905	3.34	905	3.34
WSH230	24524	7188	29.31	6987	4381	17.86	4381	17.86
WSH231	10055	2312	22.99	2181	1304	12.97	1304	12.97
WSH232	21003	2507	11.94	2377	652	3.1	652	3.1
WSH233	16075	2175	13.53	2028	505	3.14	505	3.14
WSH234	42339	18753	44.29	18516	15146	35.77	15017	35.47
WSH235	34388	3661	10.65	3553	1714	4.98	1713	4.98
WSH236	18403	1964	10.67	1821	468	2.54	468	2.54
WSH237	42602	3048	7.15	2900	1801	4.23	1801	4.23
WSH238	38683	6057	15.66	5839	3996	10.33	3996	10.33
WSH239	23351	2023	8.66	1895	890	3.81	890	3.81
WSH240	25862	3437	13.29	3276	961	3.72	961	3.72
WSH241	20157	1284	6.37	1207	513	2.55	513	2.55
WSH242	13127	1573	11.98	1423	682	5.2	682	5.2
WSH243	18852	1401	7.43	1327	594	3.15	594	3.15
WSH244	21649	2050	9.47	1905	840	3.88	840	3.88
WSH245	9934	1892	19.05	1729	1123	11.3	1123	11.3
WSH246	15325	1904	12.42	1786	801	5.23	801	5.23
WSH247	20776	3972	19.12	3845	2871	13.82	2871	13.82
WSH248	17352	2184	12.59	2028	664	3.83	664	3.83
WSH249	12141	1812	14.92	1681	877	7.22	877	7.22
WSH250	24420	1919	7.86	1733	1010	4.14	1010	4.14
WSH251	23769	2764	11.63	2556	1314	5.53	1314	5.53
WSH252	20864	1805	8.65	1671	571	2.74	571	2.74
WSH253	39163	9980	25.48	9892	8244	21.05	8244	21.05
WSH254	34397	9155	26.62	9064	7628	22.18	7628	22.18
WSH255	21618	2075	9.6	1862	617	2.85	617	2.85
WSH256	36252	2762	7.62	2650	2153	5.94	2153	5.94
