Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3105201,7/10/19 8:53:11,0.000,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.101,µmol/L,26.246,¡C,1015.000,hPa,Humid,34,0
3105211,7/10/19 8:53:14,0.044,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.160,µmol/L,26.237,¡C,1015.000,hPa,Humid,34,0
3105221,7/10/19 8:53:17,0.094,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.202,µmol/L,26.225,¡C,1015.000,hPa,Humid,34,0
3105231,7/10/19 8:53:20,0.144,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.230,µmol/L,26.222,¡C,1015.000,hPa,Humid,34,0
3105241,7/10/19 8:53:23,0.195,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.231,µmol/L,26.235,¡C,1015.000,hPa,Humid,34,0
3105251,7/10/19 8:53:26,0.244,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.288,µmol/L,26.227,¡C,1015.000,hPa,Humid,34,0
3105261,7/10/19 8:53:29,0.294,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.290,µmol/L,26.230,¡C,1015.000,hPa,Humid,34,0
3105271,7/10/19 8:53:32,0.345,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.281,µmol/L,26.232,¡C,1015.000,hPa,Humid,34,0
3105281,7/10/19 8:53:35,0.395,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.293,µmol/L,26.224,¡C,1015.000,hPa,Humid,34,0
3105291,7/10/19 8:53:38,0.444,SABD0000000003 (OXY-10 ST),4,Gates4 (PSt7-10),4/10/19 11:14:52,default,61.327,µmol/L,26.214,¡C,1015.000,hPa,Humid,34,0
