sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
WSH117,185,-0.0009274696226119844,-0.06009680439958497,0.0447407090669169,0.01378318534010991,0.007646758599855227,-0.00479235793257682,0.0038459255370813235,0.006678892781773518,0.0024710944551029177,-8.407669021764683e-05,-0.002502204519686013,0.00017610849881436038,0.0002335711331197725,-0.0009544534294744549,4.0331912495101124e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH086,186,-0.03479014425212852,-0.047352606870467176,0.03450370307504134,0.005965552209603344,-0.004143655713744465,-0.005871378985204239,-0.0021110130132570076,-0.007542840316435417,-0.0004653059784280297,-0.00227301553449649,0.0007821867664698241,-0.0016066319464459972,0.0005976499970080078,0.0010159519754610671,-9.736762981118628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH127,189,-0.030756880627425726,0.037707659193487404,-0.02432065151539258,0.012661283842405877,0.01191826604177369,0.0012817273404663728,0.0017335729426917383,-0.0008878207634533528,-0.003739932026663975,-0.0011154674961018159,-0.0016534900272260594,-0.003170983985855066,0.001835360201932686,-0.00015074877500815165,-0.0015235135747520706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH102,190,-0.03152952139041484,0.04169196965712691,-0.022751022402949798,0.015033262907360645,0.0063608150179111575,-0.007479190897597281,0.002300018935643884,-6.206694505095168e-05,-1.5141367915875474e-06,0.0009810441691130993,0.0034006995267998963,0.002559153546793983,-0.0022648989641712025,-0.0002555618204560059,0.0015140145399590089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH128,191,0.05790581638551801,-0.004074368919526925,-0.015670742583619134,-0.013179691141429655,-0.0025001616499122606,-0.0037382602745872993,0.015313964054361601,-0.001344272240220215,0.006950442533646299,0.00037769844320298157,0.004356147560602863,-0.002432168084437377,-0.00037843227242907577,7.080183463002537e-05,-0.00016746952996238217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH116,193,-0.02220147369757815,0.030752079689381463,-0.0010661618452734935,-0.0010161384099839975,-0.004587036816926115,0.012768441718108333,0.0014229058330057212,0.0029789113805623207,-0.006857521847679282,-0.003258141056478679,-0.0018390262388231385,-0.0003791816593932513,-0.001063988887695701,6.737566301791195e-05,0.0006248163952870372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH085,194,-0.022690030504006132,0.035198184732803235,-0.0063746644972214024,0.0012956324913609314,-0.006475640375531778,0.002085923753979471,0.006760133560484132,0.003019769932288524,0.003807670509832051,-0.0029384029623797667,-0.0012969331262810341,-0.00015967534700097778,0.0013606742192352457,0.0014616047190293975,-0.0007551118266038588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH118,195,0.07673369045509468,0.008961596036338794,0.008532742333041545,4.9087627721409086e-05,0.011717356134209855,0.024165217623210455,2.0367784020155076e-05,-0.005697113894036096,0.0025302827749901064,-0.0004199737368931263,-0.004390332856128317,-0.0012360579809011596,-0.0005273573744722467,-4.3860890169061976e-06,9.537420199432396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH087,196,0.056584407232671705,-0.015813797088993584,0.013640842254170853,-0.0024589146369153126,0.009888829898763753,0.006638728041570625,-0.009645914738943499,0.0012586780078472695,-0.001381003539700909,-0.0009605174417158356,0.0106053106305955,-0.0005455460577660255,-0.00023828539631649676,0.0008393635471265297,7.155699110057062e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH110,197,-0.026783052038685067,-0.0210688914240641,-0.004142082279294809,-0.014222476685367283,-0.00574744423156475,0.00247406103376699,0.00017572217841476192,-0.0007563029362208757,0.0008948396156379069,0.011714359080357476,0.000640085430705261,-0.0011061285717351376,0.0032369918708616626,0.0008289818917991187,0.0016500530986832906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH104,198,-0.023422132895142497,-0.02006974238743952,-0.004748544658217539,-0.009494866978837238,-0.010078663094138214,-0.0018571090850924559,0.0023237243431645893,-0.0010030091311034565,0.00010420199625413773,0.0038973840609195258,-0.003488859460709674,-0.0017368856972935288,-0.0011773825210199746,-0.0012356755962259454,-0.0015329810832334352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH120,199,0.0858784191537923,-0.0007732011060121876,0.005611157168666573,-0.015021336449602457,0.006753538826073589,-0.014077630865372913,0.006922498118888484,-0.009533261606621424,-0.005650938302280872,0.0014931251110901853,-0.003931449281804719,0.001924005096997666,-0.0003578850144368159,0.0006844218363680931,8.909259712555323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH112,201,-0.0277804232434659,-0.02137188402293315,-0.02677726732418924,0.014819377939125503,0.0006325696650347283,-0.004701188558670636,-0.007541187796213662,0.0014317829917168345,-0.0020835214291157924,0.002379516269149784,0.0004292944122554916,0.0032079372823892237,-0.00028455395613726674,0.002672292806638338,-0.0015549051007345157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH092,202,-0.039812517190856364,-0.0364685840076314,-0.019367979818701028,0.03355657621340849,0.0013694381257321187,-0.0029854577197883756,0.0063398333624817855,-0.002634296416139146,-0.001481803084304746,-0.00297722224199317,-0.0013282716349457642,0.0009979968217250063,0.00035984519074694273,-6.377214999686379e-05,0.00012123955682459069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH115,203,-0.023593588660041305,-0.005793406746251107,0.003462411538572877,-0.026254990284749997,0.0007055842473183461,-0.0066480097503192875,0.0033580211349553014,-0.0005297723960128722,-0.010013025065362273,-0.007610983641764919,0.004395504542186176,-0.0016585647891850582,0.0004932345782805923,-0.0008136427160898732,0.000363571510868064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH107,204,-0.028677636623945346,-0.023107504828529593,-0.027511731487905717,0.016844633722179012,0.003087742606494981,-0.003199712696794159,-0.008533573375290624,-0.00024430426527421827,-2.3837239364034286e-05,0.001665543811863423,-0.0005900099569442987,-0.005307506677609305,-0.0007173996144298638,-0.002176400817709574,0.0012291944999151606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH122,205,-0.021849187980187396,0.037502245494354956,0.0038235359077088953,-0.0029228645231010944,-0.004351019498217249,0.0037921327875416245,0.0048518077668844,-0.0010844356694408941,-0.0036621408251081944,0.00653447147073182,0.0038527529744951496,0.002045927827642722,-0.0007722178928656247,-0.0004276418587172896,0.000267691062075804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH105,206,0.0026827056162848526,0.03340572248499963,0.027861783364657083,0.00435746225199312,0.017441627199324617,-0.004569213914579254,0.004939807250024959,0.012558694655308454,-0.0008674762278424493,0.0035083855196211527,-0.0013469013875548855,-0.00034560700952511204,0.00026975621699320813,-0.00017160747991533067,-0.00018482259639911956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH119,209,-0.037021300842263107,-0.013179019518677405,0.031487855856410646,0.027516522150149506,-0.010627073017939276,0.01490589240731301,0.0053754314045344025,-0.0035055397109220424,-0.0019042876116711687,-7.517516427497168e-05,0.0015375106139543463,0.002159050410192773,-0.0007227276945214559,1.5159532779622554e-05,0.0002366384432820613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH088,210,0.10622774390369193,0.031239985946469418,0.02158888633856856,0.02305564608078525,-0.014082403337348486,-0.011457857654554983,-0.006378084210590614,0.0027041108248111127,0.002558432810788763,-0.0011090427401653775,0.0004741081631859286,-0.00020881986672404324,0.0003173608780064155,-0.00022798867638577176,-2.30315675490321e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH109,213,-0.027476611320119436,-0.011207421949887653,-0.013408739021983272,-0.01788283781433991,-0.003102644681743612,0.0017321193461147298,0.0004136006879682684,0.003005208518144676,0.007292283268344869,-0.00660306354563635,-0.0011428520835865923,0.0038172648811990646,0.0029827954158095945,-0.0013401435272111337,0.0013328433367662776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH094,216,-0.0278789860982973,-0.018386058985297,-0.01030273501840762,-0.013906251390487066,-0.004050880464144606,0.0031370114155650445,0.0016028227559532454,0.0033622949835835432,0.00713507622171266,-0.0017505652194303293,0.0029607065689922756,-0.002008951354666522,-0.0021586046522352412,0.0021134230968302813,-0.0008946398458294647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH121,217,-0.024915460091114384,0.05257989683630106,0.016365055083202157,-0.002593685655951473,-0.0001762967559022073,-0.0016003308709507398,-0.008044060288066316,-0.005113313178958622,0.0018617693767469313,-0.0003539764519399376,0.0006708402791937974,2.3694266754507735e-05,0.0045636733831356255,-0.00017445723092867575,-0.0008563032596855802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH101,218,-0.02620517225326028,0.055188976597558746,0.015552115738317395,-0.002517537826009793,-0.00959094229396275,-0.006452960201740483,-0.0065226771455572955,-0.0033903418961727114,0.005295387082388839,-0.0012381804698700326,-0.002800939824307037,-0.0010254118448977073,-0.0032835104220474806,-0.00021128848092177816,0.0006405802288577535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH114,219,0.06359809350098772,-0.018160297291602998,-0.03672714012824621,0.010097481511068975,0.010380820870271534,0.0009435226781318763,-0.0032075789350247525,-0.002563783107726003,0.004281088772278001,-0.000990857415967349,-0.0006706186272191734,0.002017826880813147,0.00017365661257038301,-0.0002764513675276063,0.00031927035505342007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH096,220,0.08757683433966892,-0.021330830109103693,-0.024552250697152254,-0.0048292447264993744,-0.019876944441563016,0.004600816526604644,-0.003111275917075508,0.007636219805864033,-0.007439380540615873,9.755782027150528e-05,-0.0022500481550768153,0.0003749849744458907,0.000545894154197898,-0.0005369625079615434,-0.00022869771890911343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH113,221,-0.02951143799331799,-0.014302051379962535,0.004311523639311907,-0.024909355694913513,0.004562475035531363,0.00199082302100033,-0.005434352002412488,-0.0012071183705313002,0.0017719478984392395,0.0021839140882495087,0.0011136012353841786,0.0033615521084030993,-0.0016857524343912914,-0.0033094926976776403,-0.0018417955479015976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH108,222,-0.0293646832628481,-0.011671845632856531,0.006239391913967277,-0.027825512069083513,0.006924984104343021,-0.0010857582855451613,-0.007170440228127839,0.0024650289624203493,-0.0013828294612323426,-0.0010743380352447019,-0.00598681152452686,0.0002626182772633979,-0.0013374667547288465,0.002561298317541792,0.001064370551080567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.5318682332076812,0.2351173614317999,0.10775731892704776,0.06368723869817242,0.018932836418827103,0.015395146155561657,0.008794700115584187,0.0051617091573572926,0.00470483202553817,0.0033623365960669307,0.0027940656769202907,0.0011066818039076878,0.0006989065956197913,0.00040603779203108025,0.00021259539788454619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
