ColonyID,Timepoint,Site,Pair,Bleach,C31-C17d-C21-C31.1-C31a-C17e,C31-C17d-C31.1-C21-C31a-1373,C31/C17d-C21-C21ac,D1-D4-D6-D1ab,C,D,total,CD_ratio
11,2019-07-19,13,2,Bleach,0,0,0.487229862475442,0.512770137524558,0.487229862475442,0.512770137524558,1,0.950191570881226
11,2019-12-04,13,2,Bleach,0,0,0.790331704808434,0.209668295191566,0.790331704808434,0.209668295191566,1,3.76943831248467
12,2019-07-19,13,2,Non-bleach,0,0,0,1,0,1,1,0
12,2019-12-04,13,2,Non-bleach,0,0,0,1,0,1,1,0
19,2019-07-19,13,3,Bleach,1,0,0,0,1,0,1,1
19,2019-12-04,13,3,Bleach,1,0,0,0,1,0,1,1
20,2019-07-19,13,3,Non-bleach,0,0,0.351449110514582,0.648550889485418,0.351449110514582,0.648550889485418,1,0.541899049422989
20,2019-12-04,13,3,Non-bleach,0,0,0,1,0,1,1,0
201,2019-07-19,13,9,Bleach,0,1,0,0,1,0,1,1
201,2019-12-04,13,9,Bleach,0,1,0,0,1,0,1,1
202,2019-07-19,13,9,Non-bleach,0.0912527798369162,0,0,0.908747220163084,0.0912527798369162,0.908747220163084,1,0.100416020882617
202,2019-12-04,13,9,Non-bleach,0.380134511700295,0,0,0.619865488299705,0.380134511700295,0.619865488299705,1,0.613253228120517
203,2019-07-19,13,10,Bleach,0,0,1,0,1,0,1,1
203,2019-12-04,13,10,Bleach,0,0,1,0,1,0,1,1
204,2019-07-19,13,10,Non-bleach,0,0,0.039419494018435,0.960580505981565,0.039419494018435,0.960580505981565,1,0.0410371580236831
204,2019-12-04,13,10,Non-bleach,0,0,0,1,0,1,1,0
209,2019-07-19,13,11,Bleach,0,0,1,0,1,0,1,1
209,2019-12-04,13,11,Bleach,0,0,1,0,1,0,1,1
210,2019-07-19,13,11,Non-bleach,0,0,1,0,1,0,1,1
210,2019-12-04,13,11,Non-bleach,0,0,1,0,1,0,1,1
211,2019-07-19,13,12,Bleach,0,0.71255980861244,0,0.28744019138756,0.71255980861244,0.28744019138756,1,2.47898460258011
211,2019-12-04,13,12,Bleach,0,0.504132587171761,0,0.495867412828239,0.504132587171761,0.495867412828239,1,1.01666811355152
212,2019-07-19,13,12,Non-bleach,0,0,0,1,0,1,1,0
212,2019-12-04,13,12,Non-bleach,0,0,0,1,0,1,1,0
217,2019-07-19,13,13,Bleach,0,1,0,0,1,0,1,1
217,2019-12-04,13,13,Bleach,0.104508332780028,0,0,0.895491667219972,0.104508332780028,0.895491667219972,1,0.116704975161266
218,2019-07-19,13,13,Non-bleach,0,0,0,1,0,1,1,0
218,2019-12-04,13,13,Non-bleach,0,0,0,1,0,1,1,0
219,2019-07-19,13,14,Bleach,0,0,1,0,1,0,1,1
219,2019-12-04,13,14,Bleach,0,0,0,1,0,1,1,0
220,2019-07-19,13,14,Non-bleach,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA
220,2019-12-04,13,14,Non-bleach,0,0,1,0,1,0,1,1
221,2019-07-19,13,15,Bleach,1,0,0,0,1,0,1,1
221,2019-12-04,13,15,Bleach,0,0.80287324968176,0,0.19712675031824,0.80287324968176,0.19712675031824,1,4.07287822878229
222,2019-07-19,13,15,Non-bleach,0,0,0.139533534462752,0.860466465537248,0.139533534462752,0.860466465537248,1,0.162160339828737
222,2019-12-04,13,15,Non-bleach,0,0,0.102293862368258,0.897706137631742,0.102293862368258,0.897706137631742,1,0.113950276243094
3,2019-07-19,13,1,Bleach,0,0,1,0,1,0,1,1
3,2019-12-04,13,1,Bleach,0,0,1,0,1,0,1,1
4,2019-07-19,13,1,Non-bleach,0,0,0,1,0,1,1,0
4,2019-12-04,13,1,Non-bleach,0,0,0,1,0,1,1,0
