OTU,Size,Taxonomy,,,,,
Otu0001,37564,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0002,1876,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0003,1729,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0004,1476,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Oceanospirillales(100),Hahellaceae(100),Endozoicomonas(100)
Otu0005,807,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0006,795,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100),Cyanobacteria_Chloroplast_unclassified(100)
Otu0007,631,Bacteria(100),Proteobacteria(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100),Proteobacteria_unclassified(100)
Otu0008,539,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Alteromonadaceae(100),Alteromonas(99)
Otu0009,532,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0010,449,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria(100),Cyanobacteria_order_incertae_sedis(100),Family_XII(100),GpXII(100)
Otu0011,345,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0012,290,Bacteria(100),Bacteroidetes(100),Flavobacteria(100),Flavobacteriales(100),Flavobacteriaceae(100),Kordia(100)
Otu0013,261,Bacteria(100),Cyanobacteria_Chloroplast(100),Cyanobacteria(100),Cyanobacteria_order_incertae_sedis(100),Cyanobacteria_order_incertae_sedis_unclassified(100),Cyanobacteria_order_incertae_sedis_unclassified(100)
Otu0014,169,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Pseudoalteromonadaceae(100),Psychrosphaera(91)
Otu0015,134,Bacteria(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100),Bacteria_unclassified(100)
Otu0016,128,Bacteria(100),Proteobacteria(100),Gammaproteobacteria(100),Alteromonadales(100),Pseudoalteromonadaceae(100),Pseudoalteromonas(100)
