9, A09,5000,5000, All Events,1,10,101.3652201,101365.2201,49.32658358,83.60437895, 10-SEP-2020 , 13:36:49 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
10, A10,5000,5000, All Events,1,10,313.0886792,313088.6792,15.96991629,27.06765474, 10-SEP-2020 , 13:37:41 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
11, B01,5000,5000, All Events,1,10,468.5895007,468589.5007,10.67032017,18.08528842, 10-SEP-2020 , 13:38:24 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
12, B02,5000,5000, All Events,1,10,201.9688677,201968.8677,24.75629069,41.95981474, 10-SEP-2020 , 13:39:30 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
13, B03,5000,5000, All Events,1,10,495.9597676,495959.7676,10.08146291,17.08722526, 10-SEP-2020 , 13:40:07 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
14, B04,5000,5000, All Events,1,10,360.7163071,360716.3071,13.86130846,23.49374316, 10-SEP-2020 , 13:40:51 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
15, B05,5000,5000, All Events,1,10,311.2925617,311292.5617,16.06206063,27.22383158, 10-SEP-2020 , 13:41:37 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
16, B06,4437,5000, All Events,1,10,35.86870054,35868.70054,123.7011638,209.6629895, 10-SEP-2020 , 13:45:27 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
17, B07,5000,5000, All Events,1,10,446.3120135,446312.0135,11.20292497,18.98800842, 10-SEP-2020 , 13:46:12 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
18, B08,5000,5000, All Events,1,10,49.61745614,49617.45614,100.7709864,170.7982821, 10-SEP-2020 , 13:49:27 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
19, B09,5000,5000, All Events,1,10,173.4191665,173419.1665,28.83187655,48.86758737, 10-SEP-2020 , 13:50:41 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
20, B10,5000,5000, All Events,1,10,245.8438579,245843.8579,20.33811234,34.47137684, 10-SEP-2020 , 13:51:40 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
21, C01,5000,5000, All Events,1,10,501.2271899,501227.1899,9.975516295,16.90765474, 10-SEP-2020 , 13:52:22 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
22, C02,4348,5000, All Events,1,10,35.27656188,35276.56188,123.2546419,208.9061726, 10-SEP-2020 , 13:56:17 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
23, C03,5000,5000, All Events,1,10,185.2406121,185240.6121,26.99192118,45.74901895, 10-SEP-2020 , 13:57:29 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
24, C04,5000,5000, All Events,1,10,454.3064085,454306.4085,11.00578796,18.65387789, 10-SEP-2020 , 13:58:13 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
25, C05,5000,5000, All Events,1,10,111.4676888,111467.6888,44.856048,76.0272, 10-SEP-2020 , 14:00:43 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
26, C06,1960,5000, All Events,1,10,15.84460616,15844.60616,123.7014023,209.6633937, 10-SEP-2020 , 14:04:38 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
27, C07,5000,5000, All Events,1,10,426.2731708,426273.1708,11.72956766,19.88062316, 10-SEP-2020 , 14:05:24 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
28, C08,5000,5000, All Events,1,10,113.616378,113616.378,44.00773979,74.58938947, 10-SEP-2020 , 14:07:04 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
29, C09,5000,5000, All Events,1,10,165.9034289,165903.4289,30.13801482,51.08138105, 10-SEP-2020 , 14:08:20 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
30, C10,5000,5000, All Events,1,10,315.5816918,315581.6918,15.84375815,26.85382737, 10-SEP-2020 , 14:09:12 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
31, D01,5000,5000, All Events,1,10,168.9237141,168923.7141,29.59915975,50.16806737, 10-SEP-2020 , 14:10:26 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
32, D02,2730,5000, All Events,1,10,22.07023199,22070.23199,123.6960264,209.6542821, 10-SEP-2020 , 14:14:21 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
33, D03,5000,5000, All Events,1,10,207.8889572,207888.9572,24.05130156,40.76491789, 10-SEP-2020 , 14:15:28 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
34, D04,4577,5000, All Events,1,10,37.00103692,37001.03692,123.699236,209.6597221, 10-SEP-2020 , 14:19:21 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
35, D05,4446,5000, All Events,1,10,35.94454893,35944.54893,123.6905214,209.6449516, 10-SEP-2020 , 14:23:18 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
36, D06,1358,5000, All Events,1,10,10.97805296,10978.05296,123.7013526,209.6633095, 10-SEP-2020 , 14:27:13 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
37, D07,4553,5000, All Events,1,10,36.80675183,36806.75183,123.7001304,209.6612379, 10-SEP-2020 , 14:31:10 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
38, D08,3466,5000, All Events,1,10,28.0193655,28019.3655,123.7001602,209.6612884, 10-SEP-2020 , 14:35:06 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
39, D09,2871,5000, All Events,1,10,23.20931578,23209.31578,123.7003291,209.6615747, 10-SEP-2020 , 14:39:01 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
40, D10,3551,5000, All Events,1,10,28.70646712,28706.46712,123.700349,209.6616084, 10-SEP-2020 , 14:42:57 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
41, E01,5000,5000, All Events,1,10,140.3842395,140384.2395,35.61653373,60.36700632, 10-SEP-2020 , 14:44:24 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
42, E02,5000,5000, All Events,1,10,74.52315623,74523.15623,67.09323992,113.7173558, 10-SEP-2020 , 14:46:43 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
43, E03,4895,5000, All Events,1,10,39.59683757,39596.83757,123.6209834,209.5270905, 10-SEP-2020 , 14:50:37 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
44, E04,4112,5000, All Events,1,10,33.26125298,33261.25298,123.6273331,209.5378526, 10-SEP-2020 , 14:54:33 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
45, E05,5000,5000, All Events,1,10,55.23805451,55238.05451,90.51730813,153.4191663, 10-SEP-2020 , 14:57:33 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
46, E06,1277,5000, All Events,1,10,10.32323185,10323.23185,123.7015712,209.66368, 10-SEP-2020 , 15:01:28 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
47, E07,5000,5000, All Events,1,10,49.40037726,49400.37726,101.2138019,171.5488168, 10-SEP-2020 , 15:04:46 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
48, E08,5000,5000, All Events,1,10,64.3264344,64326.4344,77.72854265,131.7432926, 10-SEP-2020 , 15:07:25 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
49, E09,5000,5000, All Events,1,10,63.22115143,63221.15143,79.08745549,134.0465347, 10-SEP-2020 , 15:10:54 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
50, E10,5000,5000, All Events,1,10,68.18498264,68184.98264,73.32992994,124.2880168, 10-SEP-2020 , 15:13:24 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
51, F01,5000,5000, All Events,1,10,215.1802667,215180.2667,23.23633145,39.38361263, 10-SEP-2020 , 15:14:29 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
52, F02,5000,5000, All Events,1,10,178.3213057,178321.3057,28.03927427,47.52419368, 10-SEP-2020 , 15:15:41 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
53, F03,4484,5000, All Events,1,10,36.26663503,36266.63503,123.6398137,209.5590063, 10-SEP-2020 , 15:19:36 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
54, F04,3767,5000, All Events,1,10,30.46789456,30467.89456,123.6383431,209.5565137, 10-SEP-2020 , 15:23:32 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
55, F05,5000,5000, All Events,1,10,146.7331678,146733.1678,34.07545869,57.75501474, 10-SEP-2020 , 15:24:57 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
56, F06,1997,5000, All Events,1,10,16.1437187,16143.7187,123.7013625,209.6633263, 10-SEP-2020 , 15:28:51 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
57, F07,5000,5000, All Events,1,10,40.59014837,40590.14837,123.1825997,208.7840674, 10-SEP-2020 , 15:32:47 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
58, F08,4115,5000, All Events,1,10,33.26568247,33265.68247,123.7010545,209.6628042, 10-SEP-2020 , 15:36:42 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
59, F09,3023,5000, All Events,1,10,24.43957013,24439.57013,123.6928467,209.6488926, 10-SEP-2020 , 15:40:38 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,sample,average(1:3),average*3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.9/16,409717.6964,1229153.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27.10/2,103371.7736,310115.3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,244.10/16,371635.3559,1114906.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,218.10/16,350786.39,1052359.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,46.9/16,263503.592,790510.7759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,219.9/16,23896.35785,71689.07354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20.10/2,434086.7801,1302260.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,203.10/16,66516.20887,199548.6266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,217.9/16,146895.9385,440687.8155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12.10/16,291504.743,874514.2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
