Current Date: 10-Sep-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number: 8470050168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Name: InCyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number: 3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Gains,,,,,High Calibration,,,,,,,,,,,,,,,,,
 Sample Number, Sample ID, Number of Events,  Termination Count, Count Gate, Dilution Factor, Original Volume, Cells/µL,cells/ml,  Total Volume (µL), Acquisition Time (s), Date of Acquisition, Time of Acquisition, FSC Gain, SSC, GRN-B, YEL-B, RED-B,  SSC,  GRN-B,  YEL-B,  RED-B, YEL-B - %GRN-B, RED-B - %GRN-B, GRN-B - %YEL-B, RED-B - %YEL-B, GRN-B - %RED-B, YEL-B - %RED-B, Threshold Parameter, Threshold Value, Flow Rate (µL/s), High Concentration Warning Trigger, # of Errors & Warnings, User Login Name, User Full Name, WorkList
1, A01,5000,5000, All Events,1,10,259.3363986,259336.3986,19.27997777,32.67792842, 10-SEP-2020 , 13:21:41 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
2, A02,5000,5000, All Events,1,10,72.86989115,72869.89115,68.61544488,116.2973642, 10-SEP-2020 , 13:24:02 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
3, A03,5000,5000, All Events,1,10,433.7056879,433705.6879,11.52855528,19.53992421, 10-SEP-2020 , 13:24:47 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
4, A04,5000,5000, All Events,1,10,237.3364543,237336.4543,21.06713869,35.70701474, 10-SEP-2020 , 13:25:47 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
5, A05,5000,5000, All Events,1,10,367.7505254,367750.5254,13.59617364,23.04436211, 10-SEP-2020 , 13:26:30 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
6, A06,2471,5000, All Events,1,10,19.97576684,19975.76684,123.6998819,209.6608168, 10-SEP-2020 , 13:30:20 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
7, A07,5000,5000, All Events,1,10,429.6751559,429675.1559,11.63669794,19.72321684, 10-SEP-2020 , 13:31:06 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,1, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
8, A08,4490,5000, All Events,1,10,36.31479243,36314.79243,123.6410757,209.5611453, 10-SEP-2020 , 13:35:00 ,11.81460917,1,4,3.363585661,1, Yes, Yes, Yes, No, ---, ---, ---, ---, ---, ---, RED-B,327,0.59,500,2, DESKTOP-9MNKV60\User, Unknown, C:/Users/User/Box Sync/Barrott Lab Guava/BarottLab2020/Teegan/2020-09-10_at_01-18-06pm.xml
