sample-id	forward-absolute-filepath	reverse-absolute-filepath
WSH217	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH217_S195_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH217_S195_L001_R2_001.fastq.gz
WSH218	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH218_S202_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH218_S202_L001_R2_001.fastq.gz
WSH219	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH219_S209_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH219_S209_L001_R2_001.fastq.gz
WSH220	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH220_S216_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH220_S216_L001_R2_001.fastq.gz
WSH221	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH221_S223_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH221_S223_L001_R2_001.fastq.gz
WSH222	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH222_S230_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH222_S230_L001_R2_001.fastq.gz
WSH223	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH223_S237_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH223_S237_L001_R2_001.fastq.gz
WSH224	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH224_S244_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH224_S244_L001_R2_001.fastq.gz
WSH225	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH225_S196_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH225_S196_L001_R2_001.fastq.gz
WSH226	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH226_S203_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH226_S203_L001_R2_001.fastq.gz
WSH227	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH227_S210_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH227_S210_L001_R2_001.fastq.gz
WSH228	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH228_S217_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH228_S217_L001_R2_001.fastq.gz
WSH229	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH229_S224_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH229_S224_L001_R2_001.fastq.gz
WSH230	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH230_S231_L001_R1_001.fastq.gz	/data/putnamlab/estrand/BleachingPairs_16S/raw_data/WSH230_S231_L001_R2_001.fastq.gz
