Species,Bleaching_status,BNB,Date,Month,Depth,Reef,Percent,Rep
Mcap,Bleached,1,12/10/15,1.5,1,Inner,2.41187384,1
Mcap,Healthy,3,12/10/15,1.5,1,Inner,92.57884972,1
Mcap,Pale,2,12/10/15,1.5,1,Inner,5.009276438,1
Mcap,Bleached,1,12/10/15,1.5,1,Inner,0.729927007,2
Mcap,Healthy,3,12/10/15,1.5,1,Inner,54.74452555,2
Mcap,Pale,2,12/10/15,1.5,1,Inner,44.52554745,2
Mcap,Bleached,1,12/10/15,1.5,2,Inner,4.100946372,1
Mcap,Healthy,3,12/10/15,1.5,2,Inner,76.97160883,1
Mcap,Pale,2,12/10/15,1.5,2,Inner,18.92744479,1
Mcap,Bleached,1,12/10/15,1.5,2,Inner,3.693931398,2
Mcap,Healthy,3,12/10/15,1.5,2,Inner,85.75197889,2
Mcap,Pale,2,12/10/15,1.5,2,Inner,10.55408971,2
Mcap,Bleached,1,12/10/15,1.5,1,Outer,0,1
Mcap,Healthy,3,12/10/15,1.5,1,Outer,56.75675676,1
Mcap,Pale,2,12/10/15,1.5,1,Outer,43.24324324,1
Mcap,Bleached,1,12/10/15,1.5,1,Outer,0,2
Mcap,Healthy,3,12/10/15,1.5,1,Outer,69.98867497,2
Mcap,Pale,2,12/10/15,1.5,1,Outer,30.01132503,2
Mcap,Bleached,1,12/10/15,1.5,2,Outer,0,1
Mcap,Healthy,3,12/10/15,1.5,2,Outer,71.54255319,1
Mcap,Pale,2,12/10/15,1.5,2,Outer,28.45744681,1
Mcap,Bleached,1,12/10/15,1.5,2,Outer,8.799048751,2
Mcap,Healthy,3,12/10/15,1.5,2,Outer,59.69084423,2
Mcap,Pale,2,12/10/15,1.5,2,Outer,31.51010702,2
Pcomp,Bleached,1,12/10/15,1.5,1,Inner,1.767676768,1
Pcomp,Healthy,3,12/10/15,1.5,1,Inner,92.67676768,1
Pcomp,Pale,2,12/10/15,1.5,1,Inner,5.555555556,1
Pcomp,Bleached,1,12/10/15,1.5,1,Inner,0,2
Pcomp,Healthy,3,12/10/15,1.5,1,Inner,85.67567568,2
Pcomp,Pale,2,12/10/15,1.5,1,Inner,14.32432432,2
Pcomp,Bleached,1,12/10/15,1.5,2,Inner,0.262467192,1
