Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3377543,1/11/19 14:50:59,0.000,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,143.366,µmol/L,27.741,¡C,1011.000,hPa,Humid,34,0
3377553,1/11/19 14:51:03,0.056,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,143.823,µmol/L,27.750,¡C,1011.000,hPa,Humid,34,0
3377563,1/11/19 14:51:06,0.106,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,144.206,µmol/L,27.749,¡C,1011.000,hPa,Humid,34,0
3377573,1/11/19 14:51:09,0.157,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,144.562,µmol/L,27.736,¡C,1011.000,hPa,Humid,34,0
3377583,1/11/19 14:51:12,0.207,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,144.728,µmol/L,27.747,¡C,1011.000,hPa,Humid,34,0
3377593,1/11/19 14:51:15,0.256,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,145.046,µmol/L,27.732,¡C,1011.000,hPa,Humid,34,0
3377603,1/11/19 14:51:18,0.307,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,145.273,µmol/L,27.726,¡C,1011.000,hPa,Humid,34,0
3377613,1/11/19 14:51:21,0.357,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,145.356,µmol/L,27.738,¡C,1011.000,hPa,Humid,34,0
3377623,1/11/19 14:51:24,0.407,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,145.406,µmol/L,27.726,¡C,1011.000,hPa,Humid,34,0
3377633,1/11/19 14:51:27,0.457,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,145.739,µmol/L,27.742,¡C,1011.000,hPa,Humid,34,0
3377643,1/11/19 14:51:30,0.507,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),1/11/19 9:32:24,default,146.096,µmol/L,27.741,¡C,1011.000,hPa,Humid,34,0
