sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
WSH217	16375	2065	12.61	1898	520	3.18	520	3.18
WSH218	15051	2005	13.32	1853	387	2.57	387	2.57
WSH219	18391	1618	8.8	1471	528	2.87	528	2.87
WSH220	20780	1713	8.24	1592	557	2.68	557	2.68
WSH221	23828	2942	12.35	2813	934	3.92	934	3.92
WSH222	28489	3070	10.78	2901	1081	3.79	1081	3.79
WSH223	14017	2118	15.11	1977	449	3.2	449	3.2
WSH224	25899	3157	12.19	3040	1085	4.19	1085	4.19
WSH225	11987	1508	12.58	1339	338	2.82	338	2.82
WSH226	15451	2298	14.87	2067	573	3.71	573	3.71
WSH227	29093	5625	19.33	5505	4340	14.92	4247	14.6
WSH228	27312	3280	12.01	3162	2332	8.54	2127	7.79
WSH229	27110	3030	11.18	2890	816	3.01	816	3.01
WSH230	24524	6580	26.83	6410	4018	16.38	3971	16.19
WSH231	10055	2040	20.29	1922	1222	12.15	1222	12.15
WSH232	21003	2179	10.37	2070	601	2.86	541	2.58
WSH233	16075	1843	11.47	1688	451	2.81	411	2.56
WSH234	42339	17793	42.03	17520	14126	33.36	13545	31.99
WSH235	34388	3087	8.98	2979	1495	4.35	1495	4.35
WSH236	18403	1614	8.77	1492	418	2.27	418	2.27
WSH237	42602	2680	6.29	2548	1593	3.74	1370	3.22
WSH238	38683	5535	14.31	5309	3759	9.72	3373	8.72
WSH239	23351	1735	7.43	1601	728	3.12	668	2.86
WSH240	25862	2967	11.47	2824	865	3.34	803	3.1
WSH241	20157	1072	5.32	992	444	2.2	387	1.92
WSH242	13127	1357	10.34	1185	587	4.47	555	4.23
WSH243	18852	1193	6.33	1111	511	2.71	453	2.4
WSH244	21649	1759	8.13	1581	769	3.55	714	3.3
WSH245	9934	1698	17.09	1541	1063	10.7	919	9.25
WSH246	15325	1644	10.73	1521	736	4.8	695	4.54
WSH247	20776	3627	17.46	3503	2643	12.72	2586	12.45
WSH248	17352	1871	10.78	1704	480	2.77	480	2.77
WSH249	12141	1568	12.91	1456	800	6.59	767	6.32
WSH250	24420	1635	6.7	1449	871	3.57	721	2.95
WSH251	23769	2371	9.98	2172	1188	5	1119	4.71
WSH252	20864	1460	7	1329	500	2.4	500	2.4
WSH253	39163	9475	24.19	9386	7626	19.47	7496	19.14
WSH254	34397	8623	25.07	8553	7030	20.44	6951	20.21
WSH255	21618	1741	8.05	1563	559	2.59	559	2.59
WSH256	36252	2443	6.74	2335	1958	5.4	1709	4.71
