Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
2975528,19/9/19 15:23:42,1.496,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.452,µmol/L,31.393,¡C,1014.000,hPa,Humid,0,0
2975538,19/9/19 15:23:45,1.546,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.682,µmol/L,31.378,¡C,1014.000,hPa,Humid,0,0
2975548,19/9/19 15:23:48,1.596,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.669,µmol/L,31.379,¡C,1014.000,hPa,Humid,0,0
2975558,19/9/19 15:23:51,1.646,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.496,µmol/L,31.382,¡C,1014.000,hPa,Humid,0,0
2975568,19/9/19 15:23:54,1.696,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.369,µmol/L,31.396,¡C,1014.000,hPa,Humid,0,0
2975578,19/9/19 15:23:57,1.746,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.337,µmol/L,31.396,¡C,1014.000,hPa,Humid,0,0
2975588,19/9/19 15:24:00,1.796,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.370,µmol/L,31.392,¡C,1014.000,hPa,Humid,0,0
2975598,19/9/19 15:24:03,1.845,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.236,µmol/L,31.384,¡C,1014.000,hPa,Humid,0,0
2975608,19/9/19 15:24:06,1.895,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.477,µmol/L,31.377,¡C,1014.000,hPa,Humid,0,0
2975618,19/9/19 15:24:09,1.946,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.140,µmol/L,31.388,¡C,1014.000,hPa,Humid,0,0
2975628,19/9/19 15:24:12,1.996,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.455,µmol/L,31.373,¡C,1014.000,hPa,Humid,0,0
2975638,19/9/19 15:24:15,2.046,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.393,µmol/L,31.377,¡C,1014.000,hPa,Humid,0,0
2975648,19/9/19 15:24:18,2.096,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.177,µmol/L,31.388,¡C,1014.000,hPa,Humid,0,0
2975658,19/9/19 15:24:21,2.146,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.447,µmol/L,31.371,¡C,1014.000,hPa,Humid,0,0
2975668,19/9/19 15:24:24,2.196,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.281,µmol/L,31.370,¡C,1014.000,hPa,Humid,0,0
2975678,19/9/19 15:24:27,2.246,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.150,µmol/L,31.371,¡C,1014.000,hPa,Humid,0,0
2975688,19/9/19 15:24:30,2.296,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.137,µmol/L,31.379,¡C,1014.000,hPa,Humid,0,0
2975698,19/9/19 15:24:33,2.345,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.273,µmol/L,31.374,¡C,1014.000,hPa,Humid,0,0
2975708,19/9/19 15:24:36,2.396,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.220,µmol/L,31.364,¡C,1014.000,hPa,Humid,0,0
2975718,19/9/19 15:24:39,2.446,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.301,µmol/L,31.361,¡C,1014.000,hPa,Humid,0,0
2975728,19/9/19 15:24:42,2.496,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.403,µmol/L,31.338,¡C,1014.000,hPa,Humid,0,0
2975738,19/9/19 15:24:45,2.546,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.463,µmol/L,31.344,¡C,1014.000,hPa,Humid,0,0
2975748,19/9/19 15:24:48,2.596,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.168,µmol/L,31.366,¡C,1014.000,hPa,Humid,0,0
2975758,19/9/19 15:24:51,2.646,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.124,µmol/L,31.365,¡C,1014.000,hPa,Humid,0,0
2975768,19/9/19 15:24:54,2.696,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.927,µmol/L,31.354,¡C,1014.000,hPa,Humid,0,0
2975778,19/9/19 15:24:57,2.746,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.960,µmol/L,31.363,¡C,1014.000,hPa,Humid,0,0
2975788,19/9/19 15:25:00,2.796,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.078,µmol/L,31.351,¡C,1014.000,hPa,Humid,0,0
2975798,19/9/19 15:25:03,2.845,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.139,µmol/L,31.350,¡C,1014.000,hPa,Humid,0,0
2975808,19/9/19 15:25:06,2.896,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.250,µmol/L,31.332,¡C,1014.000,hPa,Humid,0,0
2975818,19/9/19 15:25:09,2.946,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.938,µmol/L,31.350,¡C,1014.000,hPa,Humid,0,0
2975828,19/9/19 15:25:12,2.996,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.959,µmol/L,31.357,¡C,1014.000,hPa,Humid,0,0
2975838,19/9/19 15:25:15,3.046,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.919,µmol/L,31.346,¡C,1014.000,hPa,Humid,0,0
2975848,19/9/19 15:25:18,3.095,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.965,µmol/L,31.353,¡C,1014.000,hPa,Humid,0,0
2975858,19/9/19 15:25:21,3.146,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.889,µmol/L,31.336,¡C,1014.000,hPa,Humid,0,0
2975868,19/9/19 15:25:24,3.196,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.156,µmol/L,31.317,¡C,1014.000,hPa,Humid,0,0
2975878,19/9/19 15:25:27,3.246,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.717,µmol/L,31.352,¡C,1014.000,hPa,Humid,0,0
2975888,19/9/19 15:25:30,3.296,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,289.042,µmol/L,31.319,¡C,1014.000,hPa,Humid,0,0
2975898,19/9/19 15:25:33,3.346,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.869,µmol/L,31.322,¡C,1014.000,hPa,Humid,0,0
2975908,19/9/19 15:25:36,3.396,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.947,µmol/L,31.333,¡C,1014.000,hPa,Humid,0,0
2975918,19/9/19 15:25:39,3.446,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.952,µmol/L,31.326,¡C,1014.000,hPa,Humid,0,0
2975928,19/9/19 15:25:42,3.496,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.768,µmol/L,31.327,¡C,1014.000,hPa,Humid,0,0
2975938,19/9/19 15:25:45,3.545,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.729,µmol/L,31.315,¡C,1014.000,hPa,Humid,0,0
2975948,19/9/19 15:25:48,3.595,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.826,µmol/L,31.321,¡C,1014.000,hPa,Humid,0,0
2975958,19/9/19 15:25:51,3.645,SABD0000000003 (OXY-10 ST),8,Gates8 (PSt7-10),17/9/19 12:40:16,default,288.776,µmol/L,31.323,¡C,1014.000,hPa,Humid,0,0
