ColonyID,Species,Site,Pair,Bleach,Date,F0,Fm,Yield,FragVol.mL,ColorScore,BleachScore,DateBlast,BlastVolume.mL,SA.cm2,AFDW.g,BM.mgcm2,SymSlurry.cellmL,SymFrag.cells,ProtSlurry.mgmL,ProtFrag.mg,ProtHost.mgmL,ProtHostFrag.mg,ChlaSlurry.ugmL,ChlaFrag.ug,TAChost.uMCRE,alpha,beta,ik,NPumolmin,Rumolmin,GPumolmin,NP.umolcm2hr,R.umolcm2hr,GP.umolcm2hr,PR,SymSA.cellcm2,ChlProt.ugug,ChlSym.ugcell,ChlSA.ugcm2,ProtSA.mgcm2,TAC.umolmg
3,Montipora capitata,13,1,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
4,Montipora capitata,13,1,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
11,Montipora capitata,13,2,Bleach,7/19/19,,,,,2,3,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
12,Montipora capitata,13,2,Non-bleach,7/19/19,,,,,3,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
19,Montipora capitata,13,3,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
20,Montipora capitata,13,3,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
26,Porites compressa,13,4,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
27,Porites compressa,13,4,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
35,Porites compressa,13,5,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
36,Porites compressa,13,5,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
41,Porites compressa,13,6,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
42,Porites compressa,13,6,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
43,Porites compressa,13,7,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
44,Porites compressa,13,7,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
45,Porites compressa,13,8,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
46,Porites compressa,13,8,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
201,Montipora capitata,13,9,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
202,Montipora capitata,13,9,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
203,Montipora capitata,13,10,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
204,Montipora capitata,13,10,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
209,Montipora capitata,13,11,Bleach,7/19/19,,,,,2,4,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
210,Montipora capitata,13,11,Non-bleach,7/19/19,,,,,3,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
211,Montipora capitata,13,12,Bleach,7/19/19,,,,,2,3,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
212,Montipora capitata,13,12,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
217,Montipora capitata,13,13,Bleach,7/19/19,,,,,3,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
218,Montipora capitata,13,13,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
219,Montipora capitata,13,14,Bleach,7/19/19,,,,,2,3,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
220,Montipora capitata,13,14,Non-bleach,7/19/19,,,,,3,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
221,Montipora capitata,13,15,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
222,Montipora capitata,13,15,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
229,Porites compressa,13,16,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
230,Porites compressa,13,16,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
237,Porites compressa,13,17,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
238,Porites compressa,13,17,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
239,Porites compressa,13,18,Bleach,7/19/19,,,,,2,2,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
240,Porites compressa,13,18,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
243,Porites compressa,13,19,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
244,Porites compressa,13,19,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
247,Porites compressa,13,20,Bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
248,Porites compressa,13,20,Non-bleach,7/19/19,,,,,3,1,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,
3,Montipora capitata,13,1,Bleach,9/16/19,1226,3761,0.674,1.5,2,3,2/11/20,21,15.2527125,0.044333333,2.906586834,40160.44899,843369.4288,0.088951038,1.867971798,0.102980532,2.162591177,2.3255,48.8355,67.7822,0.004797026,0.000980418,407.6234406,0.387733536,-0.094267693,0.48200123,1.525237703,-0.370823328,1.896061031,5.113111552,55293.07845,0.026143596,5.79E-05,3.201758376,0.122468171,0.658204017
4,Montipora capitata,13,1,Non-bleach,9/16/19,1557,4092,0.62,3,3,1,9/10/20,19.5,18.08628544,0.073666667,4.07306779,1229153.089,23968485.24,0.205372505,4.004763848,0.030627495,0.597236153,5.991616667,116.836525,1675.92105,0.006736197,0.000745933,414.6244106,0.535439675,-0.148843294,0.684282969,1.776284058,-0.493777326,2.270061384,4.59733825,1325229.844,0.029174386,4.87E-06,6.459951403,0.221425448,54.71949464
11,Montipora capitata,13,2,Bleach,9/16/19,589,1326,0.556,4,2,4,2/10/20,26,14.16545154,0.086666667,6.118171837,12902.08238,335454.1419,0.135800855,3.53082223,0.075542026,1.964092676,1.723153333,44.80198666,59.48922,0.010937033,0.002352493,187.7504933,0.396958839,-0.104078896,0.501037735,1.681381653,-0.44084255,2.122224204,4.814018537,23681.14712,0.012688825,0.000133556,3.162764458,0.24925589,0.787498339
