Timepoint,Species,Colony_ID,SA_cm2,Notes
12/4/19,Montipora capitata,221,0.84,
12/4/19,Porites compressa,45,2,2 clippings
12/4/19,Montipora capitata,11,0.8,
12/4/19,Montipora capitata,202,1,
12/4/19,Montipora capitata,20,1.5,
12/4/19,Porites compressa,42,1.8,2 clippings
12/4/19,Porites compressa,35,2.25,2 clippings
12/4/19,Porites compressa,41,2.5,2 clippings
12/4/19,Montipora capitata,219,0.8,
12/4/19,Porites compressa,240,1.8,2 clippings
12/4/19,Montipora capitata,201,1.25,
12/4/19,Montipora capitata,12,0.9,
12/4/19,Porites compressa,243,2,2 clippings
12/4/19,Porites compressa,238,2,2 clippings
12/4/19,Porites compressa,230,2,2 clippings
12/4/19,Porites compressa,247,2.25,2 clippings
12/4/19,Porites compressa,44,1.6,2 clippings
12/4/19,Montipora capitata,217,1,
12/4/19,Porites compressa,229,2,2 clippings
12/4/19,Montipora capitata,211,1.5,
12/4/19,Montipora capitata,222,0.8,
12/4/19,Montipora capitata,210,0.8,
12/4/19,Porites compressa,26,2,2 clippings
12/4/19,Porites compressa,239,1.6,2 clippings
12/4/19,Montipora capitata,3,1,
12/4/19,Porites compressa,27,1.6,2 clippings
12/4/19,Montipora capitata,19,1.25,
12/4/19,Montipora capitata,209,1,
12/4/19,Montipora capitata,212,1,
12/4/19,Porites compressa,244,2,2 clippings
12/4/19,Montipora capitata,201,0.64,
12/4/19,Porites compressa,237,1.64,2 clippings
12/4/19,Porites compressa,46,1.64,2 clippings
12/4/19,Porites compressa,41,2.2025,2 clippings
12/4/19,Montipora capitata,218,0.64,
12/4/19,Montipora capitata,203,0.49,
12/4/19,Montipora capitata,220,0.64,
12/4/19,Porites compressa,36,1.64,2 clippings
12/4/19,Montipora capitata,4,1.25,
