ColonyID,Species,Site,Bleach,Date,Score
3,Montipora capitata,13,Bleach,9/24/15,5
4,Montipora capitata,13,Non-bleach,9/24/15,1
11,Montipora capitata,13,Bleach,9/24/15,5
12,Montipora capitata,13,Non-bleach,9/24/15,1
19,Montipora capitata,13,Bleach,9/24/15,5
20,Montipora capitata,13,Non-bleach,9/24/15,1
26,Porites compressa,13,Non-bleach,9/24/15,1
27,Porites compressa,13,Bleach,9/24/15,5
35,Porites compressa,13,Bleach,9/24/15,5
36,Porites compressa,13,Non-bleach,9/24/15,1
41,Porites compressa,13,Bleach,9/24/15,5
42,Porites compressa,13,Non-bleach,9/24/15,1
43,Porites compressa,13,Bleach,9/24/15,5
44,Porites compressa,13,Non-bleach,9/24/15,1
45,Porites compressa,13,Bleach,9/24/15,5
46,Porites compressa,13,Non-bleach,9/24/15,1
201,Montipora capitata,13,Bleach,10/29/15,5
202,Montipora capitata,13,Non-bleach,10/29/15,1
203,Montipora capitata,13,Bleach,10/29/15,5
204,Montipora capitata,13,Non-bleach,10/29/15,1
209,Montipora capitata,13,Bleach,10/29/15,4
210,Montipora capitata,13,Non-bleach,10/29/15,1
211,Montipora capitata,13,Bleach,10/29/15,5
212,Montipora capitata,13,Non-bleach,10/29/15,1
217,Montipora capitata,13,Bleach,10/29/15,4
218,Montipora capitata,13,Non-bleach,10/29/15,1
219,Montipora capitata,13,Bleach,10/29/15,4
220,Montipora capitata,13,Non-bleach,10/29/15,1
221,Montipora capitata,13,Bleach,10/29/15,4
222,Montipora capitata,13,Non-bleach,10/29/15,2
229,Porites compressa,13,Bleach,10/29/15,5
230,Porites compressa,13,Non-bleach,10/29/15,1
237,Porites compressa,13,Bleach,10/29/15,4
238,Porites compressa,13,Non-bleach,10/29/15,1
239,Porites compressa,13,Bleach,10/29/15,5
240,Porites compressa,13,Non-bleach,10/29/15,1
243,Porites compressa,13,Bleach,10/29/15,5
244,Porites compressa,13,Non-bleach,10/29/15,1
247,Porites compressa,13,Bleach,10/29/15,5
248,Porites compressa,13,Non-bleach,10/29/15,1
3,Montipora capitata,13,Bleach,12/14/15,4
4,Montipora capitata,13,Non-bleach,12/14/15,1
11,Montipora capitata,13,Bleach,12/14/15,3
12,Montipora capitata,13,Non-bleach,12/14/15,1
19,Montipora capitata,13,Bleach,12/14/15,
20,Montipora capitata,13,Non-bleach,12/14/15,
26,Porites compressa,13,Non-bleach,12/14/15,1
27,Porites compressa,13,Bleach,12/14/15,1
