ColonyID,Species,Site,Bleach,Date,Biopsy?,Fragment?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Porites compressa,13,Bleach,10/16/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Porites compressa,13,Non-bleach,10/16/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Porites compressa,13,Bleach,10/16/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Porites compressa,13,Non-bleach,10/16/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Porites compressa,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Porites compressa,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Montipora capitata,13,Non-bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Montipora capitata,13,Bleach,10/30/19,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
