Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3347222,1/11/19 11:46,0,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,97.585,µmol/L,27.236,¡C,1012,hPa,Humid,34,0
3347232,1/11/19 11:46,0.049,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,97.615,µmol/L,27.228,¡C,1012,hPa,Humid,34,0
3347242,1/11/19 11:46,0.099,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,97.77,µmol/L,27.226,¡C,1012,hPa,Humid,34,0
3347252,1/11/19 11:46,0.15,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,97.778,µmol/L,27.204,¡C,1012,hPa,Humid,34,0
3347262,1/11/19 11:46,0.2,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,97.812,µmol/L,27.219,¡C,1012,hPa,Humid,34,0
3347272,1/11/19 11:46,0.249,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,97.89,µmol/L,27.211,¡C,1012,hPa,Humid,34,0
3347282,1/11/19 11:46,0.299,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,97.95,µmol/L,27.218,¡C,1012,hPa,Humid,34,0
3347292,1/11/19 11:46,0.349,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.129,µmol/L,27.224,¡C,1012,hPa,Humid,34,0
3347302,1/11/19 11:46,0.399,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,97.965,µmol/L,27.216,¡C,1012,hPa,Humid,34,0
3347312,1/11/19 11:46,0.449,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.167,µmol/L,27.207,¡C,1012,hPa,Humid,34,0
3347322,1/11/19 11:46,0.499,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.208,µmol/L,27.194,¡C,1012,hPa,Humid,34,0
3347332,1/11/19 11:46,0.549,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.231,µmol/L,27.188,¡C,1012,hPa,Humid,34,0
3347342,1/11/19 11:46,0.599,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.266,µmol/L,27.203,¡C,1012,hPa,Humid,34,0
3347352,1/11/19 11:46,0.649,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.339,µmol/L,27.212,¡C,1012,hPa,Humid,34,0
3347362,1/11/19 11:46,0.699,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.409,µmol/L,27.202,¡C,1012,hPa,Humid,34,0
3347372,1/11/19 11:46,0.749,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.483,µmol/L,27.198,¡C,1012,hPa,Humid,34,0
3347382,1/11/19 11:46,0.799,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.47,µmol/L,27.203,¡C,1012,hPa,Humid,34,0
3347392,1/11/19 11:46,0.85,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.432,µmol/L,27.195,¡C,1012,hPa,Humid,34,0
3347402,1/11/19 11:47,0.899,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.524,µmol/L,27.197,¡C,1012,hPa,Humid,34,0
3347412,1/11/19 11:47,0.949,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.548,µmol/L,27.21,¡C,1012,hPa,Humid,34,0
3347422,1/11/19 11:47,0.999,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.633,µmol/L,27.185,¡C,1012,hPa,Humid,34,0
3347432,1/11/19 11:47,1.05,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.511,µmol/L,27.186,¡C,1012,hPa,Humid,34,0
3347442,1/11/19 11:47,1.1,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.696,µmol/L,27.192,¡C,1012,hPa,Humid,34,0
3347452,1/11/19 11:47,1.149,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.633,µmol/L,27.179,¡C,1012,hPa,Humid,34,0
3347462,1/11/19 11:47,1.199,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.654,µmol/L,27.193,¡C,1012,hPa,Humid,34,0
3347472,1/11/19 11:47,1.249,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.728,µmol/L,27.178,¡C,1012,hPa,Humid,34,0
3347482,1/11/19 11:47,1.299,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.669,µmol/L,27.158,¡C,1012,hPa,Humid,34,0
3347492,1/11/19 11:47,1.349,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.808,µmol/L,27.17,¡C,1012,hPa,Humid,34,0
3347502,1/11/19 11:47,1.399,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.799,µmol/L,27.181,¡C,1012,hPa,Humid,34,0
3347512,1/11/19 11:47,1.449,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.769,µmol/L,27.176,¡C,1012,hPa,Humid,34,0
3347522,1/11/19 11:47,1.499,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.732,µmol/L,27.166,¡C,1012,hPa,Humid,34,0
3347532,1/11/19 11:47,1.549,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.792,µmol/L,27.164,¡C,1012,hPa,Humid,34,0
3347542,1/11/19 11:47,1.599,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.875,µmol/L,27.177,¡C,1012,hPa,Humid,34,0
3347552,1/11/19 11:47,1.649,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.831,µmol/L,27.181,¡C,1012,hPa,Humid,34,0
3347562,1/11/19 11:47,1.699,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.898,µmol/L,27.16,¡C,1012,hPa,Humid,34,0
3347572,1/11/19 11:47,1.75,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.845,µmol/L,27.156,¡C,1012,hPa,Humid,34,0
3347582,1/11/19 11:47,1.8,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.774,µmol/L,27.154,¡C,1012,hPa,Humid,34,0
3347592,1/11/19 11:47,1.849,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.753,µmol/L,27.165,¡C,1012,hPa,Humid,34,0
3347602,1/11/19 11:48,1.899,SABD0000000003 (OXY-10 ST),6,Gates6 (PSt7-10),1/11/19 10:03,default,98.853,µmol/L,27.177,¡C,1012,hPa,Humid,34,0
