"","alpha","beta","Pmax","R","frag","Date"
"X461"," 0.0046889214"," 0.0007213604"," 1.7748745155","-0.5052902850","46",2019-10-02
"X2011"," 0.002156121"," 0.001598341"," 1.094683628","-0.068185922","201",2019-10-02
"X2021"," 0.0038321038"," 0.0009297642"," 1.4179325224","-0.2278425679","202",2019-10-02
"X2031"," 0.001945595"," 0.001455634"," 1.116860695","-0.091664767","203",2019-10-02
"X2041"," 0.0073856033"," 0.0005529201"," 2.3205890306","-0.5298958165","204",2019-10-02
"X2091"," 0.002645467"," 0.001238992"," 1.211227733","-0.113298135","209",2019-10-02
"X2101"," 0.0038278721"," 0.0007502802"," 1.5576820466","-0.2432231768","210",2019-10-02
"X2111"," 0.001874258"," 0.003058544"," 0.514089933","-0.057663892","211",2019-10-02
"X2121"," 0.0055227802"," 0.0004737365"," 2.0129993199","-0.3357707986","212",2019-10-02
"X2171"," 0.0029707354"," 0.0008998665"," 1.4482411319","-0.2085669283","217",2019-10-02
"X2181"," 0.005183751"," 0.001134754"," 1.527089105","-0.340190553","218",2019-10-02
"X2191"," 0.001625205"," 0.002724469"," 0.640268450","-0.062549041","219",2019-10-02
"X2201"," 0.006026939"," 0.001124261"," 1.691840310","-0.448429773","220",2019-10-02
"X2211"," 0.003222294"," 0.001077911"," 1.369687375","-0.344826099","221",2019-10-02
"X2221"," 0.004318077"," 0.001204886"," 1.397881379","-0.311289391","222",2019-10-02
"X2291"," 0.0029038229"," 0.0008811491"," 1.4129625352","-0.2082367948","229",2019-10-02
"X2301"," 0.0061186055"," 0.0006360824"," 2.0015364820","-0.4444559946","230",2019-10-02
"X2371"," 0.0024545125"," 0.0008669389"," 1.4314516813","-0.2239964731","237",2019-10-02
"X2381"," 0.0041263310"," 0.0006626778"," 1.7854257418","-0.3222556912","238",2019-10-02
"X2391"," 0.0016922719"," 0.0009868758"," 1.3046030057","-0.1286666324","239",2019-10-02
"X2401"," 0.0035196487"," 0.0007648999"," 1.5408888254","-0.2379245040","240",2019-10-02
"X2431"," 0.002283015"," 0.000634493"," 1.555687769","-0.336053168","243",2019-10-02
"X2441"," 0.0032854089"," 0.0006945538"," 1.5445551825","-0.2618148922","244",2019-10-02
"X2471"," 0.0030053876"," 0.0006608013"," 1.6228400100","-0.2605000099","247",2019-10-02
"X2481"," 0.0030494383"," 0.0007372919"," 1.5502776728","-0.2238351491","248",2019-10-02
"X32"," 0.003927144"," 0.001208181"," 1.196827312","-0.145055040","3",2019-10-16
"X48"," 0.0089266793"," 0.0007202577"," 1.7602889990","-0.5395885550","4",2019-10-16
"X112"," 0.0074915056"," 0.0006983373"," 1.8178336709","-0.5625537080","11",2019-10-16
"X122"," 0.008631376"," 0.001180178"," 1.978213549","-0.387250485","12",2019-10-16
"X192"," 0.0083630955"," 0.0006951462"," 2.0472529046","-0.5020643005","19",2019-10-16
"X206"," 0.005475278"," 0.001483482"," 1.343730509","-0.178794696","20",2019-10-16
"X262"," 0.0085968948"," 0.0004553641"," 3.0328382361","-0.3400324398","26",2019-10-16
"X272"," 0.0042704295"," 0.0006267649"," 1.6764083593","-0.2819748246","27",2019-10-16
"X352"," 0.0099244822"," 0.0007346481"," 2.1886481032","-0.3579007276","35",2019-10-16
"X362"," 0.0083294526"," 0.0009442466"," 2.1884936875","-0.3931657423","36",2019-10-16
"X412"," 0.0045149223"," 0.0009802908"," 1.5050920698","-0.3194891286","41",2019-10-16
"X422"," 0.0100789253"," 0.0007385485"," 1.5988409526","-0.5193522873","42",2019-10-16
"X432"," 0.0041335975"," 0.0006101471"," 1.7105953930","-0.2466052416","43",2019-10-16
"X442"," 0.003529851"," 0.001057077"," 1.320995863","-0.273626006","44",2019-10-16
"X452"," 0.0038454379"," 0.0003001951"," 2.4371104687","-0.2897532395","45",2019-10-16
"X462"," 0.0124420381"," 0.0006972474"," 2.4427372607","-0.8224271185","46",2019-10-16
"X2012"," 0.002086083"," 0.001432307"," 1.170264704","-0.125958489","201",2019-10-16
"X2022"," 0.016557031"," 0.001704315"," 2.574528932","-0.622780020","202",2019-10-16
"X2032"," 0.0111103011"," 0.0006986969"," 2.3158767880","-0.5399782502","203",2019-10-16
"X2042"," 0.006689742"," 0.001347962"," 1.747087609","-0.252259377","204",2019-10-16
"X2092"," 0.014090629"," 0.000971962"," 2.488760766","-0.371737577","209",2019-10-16
"X2102"," 0.0072410107"," 0.0008070137"," 1.8848174274","-0.3256218460","210",2019-10-16
"X2112"," 0.002126989"," 0.003084450"," 0.533938716","-0.198697078","211",2019-10-16
"X2122"," 0.0076952265"," 0.0008750306"," 1.8269817898","-0.4288026423","212",2019-10-16
"X2172"," 0.015626918"," 0.000965801"," 3.173950611","-1.011330856","217",2019-10-16
"X2182"," 0.010096943"," 0.001399945"," 2.087532866","-0.489615781","218",2019-10-16
"X2192"," 0.001728681"," 0.002917388"," 0.532070070","-0.029488710","219",2019-10-16
"X2202"," 0.022194292"," 0.002655638"," 3.302297221","-0.161637006","220",2019-10-16
"X2212"," 0.001994280"," 0.002960446"," 0.569057756","-0.201254636","221",2019-10-16
"X2222"," 0.0092524800"," 0.0003979721"," 2.8252627904","-0.8278446456","222",2019-10-16
"X2292"," 0.011838920"," 0.001041872"," 2.654307022","-0.429337563","229",2019-10-16
"X2302"," 0.0113942694"," 0.0004660227"," 2.5989903946","-0.4938278603","230",2019-10-16
"X2372"," 0.0071116281"," 0.0009891719"," 1.6967009695","-0.2546023886","237",2019-10-16
"X2382"," 0.010856687"," 0.000596893"," 2.659741846","-0.697506059","238",2019-10-16
"X2392"," 0.0081622919"," 0.0007120994"," 1.9707438058","-0.3979576351","239",2019-10-16
"X2402"," 0.0098867358"," 0.0003386454"," 2.8936247153","-0.6208714767","240",2019-10-16
"X2432"," 0.0048342599"," 0.0009077058"," 1.4993793115","-0.2707786027","243",2019-10-16
"X2442"," 0.0079145627"," 0.0006306117"," 2.1769547513","-0.5892643004","244",2019-10-16
"X2472"," 0.0053946019"," 0.0005128337"," 2.1145888819","-0.3374012474","247",2019-10-16
"X2482"," 0.0051415855"," 0.0005383135"," 1.9798192366","-0.3421201545","248",2019-10-16
"X33"," 0.0144152965"," 0.0005059638"," 2.6027612324","-0.8083273370","3",2019-10-30
"X49"," 0.0118121242"," 0.0003866222"," 3.3335479596","-1.1603620819","4",2019-10-30
"X113"," 0.0083898880"," 0.0009328507"," 1.8994900388","-0.4109443436","11",2019-10-30
"X123"," 0.005832398"," 0.000711073"," 1.691344018","-0.453913972","12",2019-10-30
"X193"," 0.012394192"," 0.001249298"," 2.547949483","-0.711937497","19",2019-10-30
"X207"," 0.013979598"," 0.002454227"," 2.766281594","-0.679138339","20",2019-10-30
"X263"," 0.0103313321"," 0.0005480541"," 2.4998812060","-0.7196664694","26",2019-10-30
"X273"," 0.0036105183"," 0.0001470259"," 3.4205829750","-0.3396514436","27",2019-10-30
"X353"," 0.0046682461"," 0.0008771816"," 1.5666471966","-0.3140367733","35",2019-10-30
"X363"," 0.005808617"," 0.001130607"," 1.440633599","-0.327575332","36",2019-10-30
"X413"," 0.0124899442"," 0.0003118215"," 3.2323136365","-1.0435491647","41",2019-10-30
"X423"," 0.0089725703"," 0.0003361001"," 3.0304070974","-0.9109423768","42",2019-10-30
"X433"," 0.0090746080"," 0.0003620896"," 3.1828647824","-0.7981282827","43",2019-10-30
"X443"," 0.0031263017"," 0.0005779994"," 1.7033782178","-0.1676282936","44",2019-10-30
"X453"," 0.006577813"," 0.000473708"," 2.310414059","-0.423708670","45",2019-10-30
"X463"," 0.0083342715"," 0.0004070986"," 2.8518357135","-0.6859063489","46",2019-10-30
"X2013"," 0.0034260504"," 0.0001930547"," 2.9075296595","-0.2330859878","201",2019-10-30
"X2023"," 0.006887460"," 0.001523099"," 1.631277010","-0.318425598","202",2019-10-30
"X2033"," 0.0053683222"," 0.0009326739"," 1.4428927760","-0.3251287933","203",2019-10-30
"X2043"," 0.012163039"," 0.000759349"," 2.872823958","-0.658425024","204",2019-10-30
"X2093"," 0.008155209"," 0.001632141"," 2.165484956","-0.399891369","209",2019-10-30
"X2103"," 0.0170912865"," 0.0004859098"," 4.4098178368","-1.0639229110","210",2019-10-30
"X2113"," 0.001540216"," 0.002155096"," 0.841659718","-0.193383703","211",2019-10-30
"X2123"," 0.008972249"," 0.002389921"," 2.039375870","-0.376670451","212",2019-10-30
"X2173"," 0.0086208943"," 0.0007338241"," 1.9893207410","-0.5520269694","217",2019-10-30
"X2183"," 0.0141511530"," 0.0008012028"," 3.9532568667","-0.8428019764","218",2019-10-30
"X2193"," 0.003380872"," 0.001200018"," 1.312314082","-0.153463774","219",2019-10-30
"X2203"," 0.014234705"," 0.002529843"," 3.440089142","-0.677228797","220",2019-10-30
"X2213"," 0.015787748"," 0.001197172"," 3.529612798","-0.832530010","221",2019-10-30
"X2223"," 0.0085967294"," 0.0008395722"," 2.2607655912","-0.5111695745","222",2019-10-30
"X2293"," 0.0049368900"," 0.0007862404"," 1.8045580706","-0.4054429098","229",2019-10-30
"X2303"," 0.0177180344"," 0.0003663208"," 4.7100072630","-1.8225519016","230",2019-10-30
"X2373"," 0.015314548"," 0.002056868"," 3.235268512","-0.754733238","237",2019-10-30
"X2383"," 0.003823694"," 0.001062432"," 1.287846053","-0.279330415","238",2019-10-30
"X2393"," 0.0034941499"," 0.0006383386"," 1.7253663684","-0.2991819960","239",2019-10-30
"X2403"," 0.0071165908"," 0.0008740688"," 1.9735816559","-0.4499871003","240",2019-10-30
"X2433"," 0.0079113125"," 0.0008097154"," 2.0216465473","-0.5855920176","243",2019-10-30
"X2443"," 0.0073747321"," 0.0006069396"," 2.1665817527","-0.5337351994","244",2019-10-30
"X2473"," 0.010073045"," 0.003213554"," 2.634209570","-0.443616325","247",2019-10-30
"X2483"," 0.017840771"," 0.002198957"," 4.639053662","-0.743823584","248",2019-10-30
