"","alpha","beta","Pmax","R","frag","Date"
"X3"," 0.0047970260"," 0.0009804184"," 1.5729555233","-0.3824247202","3",2019-09-16
"X4"," 0.0067361971"," 0.0007459328"," 2.1854680613","-0.6075236495","4",2019-09-16
"X11"," 0.010937033"," 0.002352493"," 1.626880487","-0.426552854","11",2019-09-16
"X12"," 0.0055618375"," 0.0009309545"," 1.6707823914","-0.3644777965","12",2019-09-16
"X19"," 0.0067224454"," 0.0007625319"," 1.8709986654","-0.5274592505","19",2019-09-16
"X20"," 0.0069199673"," 0.0007657204"," 1.7232574515","-0.4093420798","20",2019-09-16
"X26"," 0.0059583752"," 0.0004175233"," 2.4816879482","-0.6559358166","26",2019-09-16
"X27"," 0.0081820919"," 0.0005448237"," 2.4579599211","-0.7716643471","27",2019-09-16
"X35"," 0.006067601"," 0.001350705"," 1.524052576","-0.293692340","35",2019-09-16
"X36"," 0.011091883"," 0.001629513"," 2.465264501","-0.334509298","36",2019-09-16
"X41"," 0.0072018511"," 0.0006226571"," 2.2059426944","-0.7670693457","41",2019-09-16
"X42"," 0.0146121986"," 0.0006723931"," 3.1445942209","-1.2500466906","42",2019-09-16
"X43"," 0.0057649286"," 0.0003956517"," 2.5382942423","-0.6847548980","43",2019-09-16
"X44"," 0.001675998"," 0.001808312"," 1.009253080","-0.338330896","44",2019-09-16
"X45"," 0.0043892856"," 0.0009926788"," 1.5189707564","-0.4136465987","45",2019-09-16
"X46"," 0.0056171668"," 0.0006402246"," 2.0369662298","-0.6043239820","46",2019-09-16
"X201"," 0.003623003"," 0.001046778"," 1.434346358","-0.402670500","201",2019-09-16
"X202"," 0.0053013463"," 0.0009243274"," 1.6970520238","-0.4604622810","202",2019-09-16
"X203"," 0.007299285"," 0.001224722"," 1.684132748","-0.496760753","203",2019-09-16
"X204"," 0.0195202423"," 0.0003802247"," 3.8763799941","-1.3462327591","204",2019-09-16
"X209"," 0.0045017120"," 0.0008855328"," 1.6421279013","-0.4489504196","209",2019-09-16
"X210"," 0.0066876600"," 0.0007440948"," 2.0144889702","-0.4708629857","210",2019-09-16
"X211"," 0.004151913"," 0.002379763"," 0.973238227","-0.144860503","211",2019-09-16
"X212"," 0.0076845611"," 0.0007025485"," 2.1892115870","-0.5922291842","212",2019-09-16
"X217"," 0.0041078051"," 0.0009662741"," 1.5243182806","-0.2830380864","217",2019-09-16
"X218"," 0.0058827042"," 0.0009293279"," 1.7627326610","-0.4138155131","218",2019-09-16
"X219"," 0.001880268"," 0.002514315"," 0.757769389","-0.134953506","219",2019-09-16
"X220"," 0.0073651463"," 0.0006747767"," 2.0552133875","-0.5191778075","220",2019-09-16
"X221"," 0.0153170238"," 0.0008641583"," 2.5602219233","-1.0272086640","221",2019-09-16
"X222"," 0.012714437"," 0.001105545"," 2.827618713","-0.653729531","222",2019-09-16
"X229"," 0.0068670080"," 0.0007932466"," 1.9757261459","-0.4345518649","229",2019-09-16
"X230"," 0.0060280432"," 0.0005054479"," 2.2527588016","-0.4830274473","230",2019-09-16
"X237"," 0.006649509"," 0.000461145"," 2.576509278","-0.835567765","237",2019-09-16
"X238"," 0.0061046472"," 0.0003067444"," 2.9635758459","-1.0034715490","238",2019-09-16
"X239"," 0.0057910992"," 0.0009309725"," 1.6980600745","-0.4871666803","239",2019-09-16
"X240"," 0.0086688284"," 0.0006885376"," 2.3315547670","-0.8554159149","240",2019-09-16
"X243"," 0.0053801164"," 0.0006064021"," 2.0668170077","-0.6140568860","243",2019-09-16
"X244"," 0.017437626"," 0.002374602"," 3.779403473","-1.104316824","244",2019-09-16
"X247"," 0.0050270158"," 0.0005034926"," 2.1649082343","-0.5686742922","247",2019-09-16
"X248"," 0.0042304173"," 0.0005954889"," 1.9168711454","-0.5192798460","248",2019-09-16
"X31"," 0.0051238915"," 0.0008822501"," 1.5590238912","-0.2874727073","3",2019-10-02
"X47"," 0.0066234600"," 0.0004601398"," 2.1108034088","-0.6096258429","4",2019-10-02
"X111"," 0.002368530"," 0.001236692"," 1.196265877","-0.141409137","11",2019-10-02
"X121"," 0.001607624"," 0.001249584"," 1.183600818","-0.100161472","12",2019-10-02
"X191"," 0.0034905128"," 0.0007924601"," 1.5663583246","-0.2458714385","19",2019-10-02
"X205"," 0.0044374694"," 0.0009240502"," 1.4688825139","-0.2220565788","20",2019-10-02
"X261"," 0.0024066446"," 0.0008237209"," 1.4040403337","-0.1966843560","26",2019-10-02
"X271"," 0.002820319"," 0.001190259"," 1.318629906","-0.172288671","27",2019-10-02
"X351"," 0.002133781"," 0.001522196"," 1.109443558","-0.090971810","35",2019-10-02
"X361"," 0.0027924575"," 0.0008771154"," 1.4168667518","-0.1726622079","36",2019-10-02
"X411"," 0.001949132"," 0.001208379"," 1.212857635","-0.101190518","41",2019-10-02
"X421"," 0.0040602224"," 0.0006183743"," 1.6129452697","-0.2025563863","42",2019-10-02
"X431"," 0.0026794862"," 0.0005142661"," 1.7532957203","-0.4038499768","43",2019-10-02
"X441"," 0.001539977"," 0.001399936"," 1.131213683","-0.172309116","44",2019-10-02
"X451"," 0.0068418229"," 0.0009253335"," 1.9953345818","-0.5459010681","45",2019-10-02
