,RunTime,rad,value,ID,coefficients..Intercept.,coefficients.x1,R.squared,std.error..Intercept.,std.error.x1,Date
51,112.1940894,0,98.43712256,202,130.769466,-0.288023833,0.990813346,0.307410426,0.002801549,10/2/19
52,12.14446521,112,64.30992627,202,62.59212074,0.142460614,0.989160778,0.014727419,0.001506425,10/2/19
53,18.79402869,180,65.75745466,202,61.19566054,0.242091848,0.995833732,0.025914336,0.001581784,10/2/19
54,29.04455404,272,69.15991595,202,57.24060772,0.41164888,0.99697686,0.060928628,0.002289815,10/2/19
55,43.14418414,351,74.38543093,202,57.94763517,0.381578894,0.996892573,0.087576613,0.002152026,10/2/19
56,52.8946427,430,78.88676529,202,54.98727609,0.450579712,0.996095197,0.143741544,0.002849756,10/2/19
57,65.49405923,482,85.47074656,202,47.87292091,0.575667801,0.996791831,0.207956652,0.003299023,10/2/19
58,77.99437088,541,91.56290574,202,53.18407069,0.492020858,0.997276037,0.196201043,0.002597547,10/2/19
59,87.99447483,609,96.44940014,202,52.60705572,0.497765472,0.995582911,0.286462144,0.0033492,10/2/19
60,93.49455701,726,99.2071226,202,48.31396348,0.546897664,0.990201276,0.500269783,0.005495612,10/2/19
61,112.0443862,0,76.10420557,203,90.45682249,-0.128153814,0.974885774,0.227681614,0.002077789,10/2/19
62,10.04439811,112,61.28867768,203,60.67632646,0.059090569,0.902186224,0.015144944,0.001965428,10/2/19
63,21.24437594,180,62.19425657,203,59.76549843,0.116631786,0.972588677,0.037233367,0.0019779,10/2/19
64,26.89397585,272,63.16271578,203,58.29128869,0.181924371,0.990028605,0.04511521,0.001844302,10/2/19
65,43.09444028,351,66.10846658,203,57.62155512,0.196730214,0.992297171,0.071165458,0.001750904,10/2/19
66,52.19390392,430,67.95730821,203,57.29256574,0.203856534,0.994102037,0.07889598,0.001586161,10/2/19
67,63.49409472,482,70.34412272,203,56.94442915,0.210850736,0.992880073,0.110088032,0.001803647,10/2/19
68,72.54447763,541,72.31578427,203,55.89855892,0.226091392,0.993490362,0.12956499,0.001848705,10/2/19
69,86.09447422,609,75.21046173,203,56.6767955,0.215036657,0.992609265,0.156756413,0.001874365,10/2/19
70,93.7439794,726,76.89002707,203,56.05809221,0.221861216,0.990254805,0.202940744,0.002223259,10/2/19
71,111.3942967,0,145.90316,204,214.8384387,-0.618808505,0.99558386,0.453490967,0.004163185,10/2/19
72,9.944565635,112,69.32906266,204,67.49631541,0.184042311,0.993426307,0.011504863,0.001512312,10/2/19
73,21.24437594,180,72.83453986,204,63.66450344,0.429552598,0.996557788,0.048006376,0.00255018,10/2/19
74,32.69401045,272,80.0401871,204,56.69442283,0.714925924,0.999204243,0.061658094,0.002038032,10/2/19
75,42.34454397,351,88.48403522,204,49.4274475,0.922635598,0.999384535,0.09227329,0.002312877,10/2/19
76,48.34432185,430,94.49828784,204,46.20389811,0.99910079,0.999453184,0.108336017,0.002360672,10/2/19
77,61.44405548,482,108.4730249,204,39.23160708,1.126447811,0.999495217,0.150839787,0.002557173,10/2/19
78,73.54458239,541,122.0389239,204,39.31601599,1.124632793,0.999368061,0.203069314,0.002856753,10/2/19
79,84.74459338,609,135.1634489,204,34.11558743,1.19327293,0.999114988,0.295187613,0.003587513,10/2/19
80,93.54443806,726,145.8625751,204,32.36488639,1.21344962,0.999089951,0.336949925,0.003699463,10/2/19
81,112.1940894,0,84.79220738,209,102.7144417,-0.159831683,0.98340757,0.230122191,0.002097191,10/2/19
82,9.893901842,112,60.52953656,209,59.31606798,0.124957436,0.984483926,0.011977445,0.001584658,10/2/19
83,21.14432901,180,62.39939643,209,58.10475397,0.203544182,0.994328867,0.029076166,0.0015528,10/2/19
84,28.64454558,272,64.29165669,209,56.53803418,0.27111877,0.996328183,0.0435751,0.001662593,10/2/19
85,40.14424148,351,67.62349722,209,55.33795145,0.306290548,0.997165884,0.062180157,0.001649475,10/2/19
86,49.29467246,430,70.56810774,209,54.56377284,0.324188407,0.997426077,0.077924333,0.001663573,10/2/19
87,60.19392367,482,74.13684435,209,54.89577079,0.319388648,0.997542383,0.092460151,0.001601393,10/2/19
88,74.34472243,541,78.91745336,209,53.16208508,0.346528952,0.997252478,0.132076533,0.001837361,10/2/19
89,87.89468572,609,83.40448144,209,53.47139677,0.340646956,0.996196333,0.181651234,0.002126279,10/2/19
90,93.49455701,726,85.29193757,209,52.69780585,0.348719202,0.995419505,0.217522501,0.002389549,10/2/19
91,111.9939717,0,104.7504194,210,139.1137338,-0.306669932,0.990778558,0.327338828,0.00298861,10/2/19
92,11.24398289,112,62.83513476,210,61.2680647,0.140767006,0.991682146,0.011573774,0.001302289,10/2/19
93,20.99458712,180,65.0559133,210,59.17350914,0.280728218,0.996517617,0.03113923,0.001676366,10/2/19
94,32.14468352,272,69.26837225,210,55.98871127,0.412978167,0.998140766,0.053481768,0.001800467,10/2/19
95,40.59473489,351,73.10442937,210,53.85693448,0.474600209,0.998638445,0.067528064,0.001770224,10/2/19
96,48.09450082,430,76.95541654,210,51.83994455,0.522095771,0.998760476,0.084800834,0.00185795,10/2/19
97,63.19400304,482,85.36363727,210,48.68358913,0.58015277,0.998767576,0.125033575,0.002058625,10/2/19
98,72.49470012,541,90.83590904,210,47.69781333,0.595483834,0.998443301,0.166344255,0.002375186,10/2/19
99,84.244173,609,98.51083133,210,40.4465682,0.68972501,0.998323877,0.23347378,0.002854829,10/2/19
100,93.7439794,726,104.8246232,210,42.39045139,0.665851262,0.998038559,0.272180654,0.002981798,10/2/19
101,116.9542947,0,50.879556,211,58.28500163,-0.063439852,0.981243704,0.101437249,0.000886001,10/2/19
102,25.00427695,112,52.7821946,211,53.06999685,-0.011362334,0.536864333,0.02406701,0.001066047,10/2/19
103,35.70495114,180,52.65585783,211,53.11468033,-0.012134506,0.573952358,0.035126796,0.001056088,10/2/19
104,40.85464553,272,52.56891243,211,53.26634964,-0.016927519,0.72001487,0.040952996,0.001066294,10/2/19
105,54.85502864,351,52.39831602,211,53.34238952,-0.01726718,0.756531622,0.051849449,0.000989501,10/2/19
106,65.85471949,430,52.17884025,211,53.66525267,-0.022456801,0.8294359,0.065215381,0.001028696,10/2/19
107,75.00486012,482,51.98592077,211,53.63047589,-0.021697928,0.846346615,0.067749191,0.000933904,10/2/19
108,84.45438344,541,51.78644257,211,53.90827281,-0.024947035,0.870580999,0.079666243,0.000971629,10/2/19
109,99.35475406,609,51.44911935,211,53.80195267,-0.023467211,0.835159023,0.102041633,0.001053165,10/2/19
110,104.9048843,726,51.3371375,211,53.59538919,-0.021424006,0.833431021,0.099110304,0.000967498,10/2/19
111,122.1048474,0,118.9486336,212,173.0518987,-0.441394248,0.727271286,3.266642415,0.027304287,10/2/19
112,25.05488836,112,61.03865178,212,55.3975175,0.221799956,0.988944738,0.053598365,0.002368901,10/2/19
113,35.65468293,180,65.50219641,212,48.19755248,0.485158781,0.998370078,0.065764881,0.001980197,10/2/19
114,48.00462638,272,73.61610627,212,40.26238045,0.695087771,0.999311109,0.083977786,0.001843535,10/2/19
115,55.55441313,351,79.29306287,212,35.368575,0.791548104,0.998537055,0.162511956,0.003060527,10/2/19
116,62.20490966,430,84.73694585,212,33.29794617,0.828062508,0.998411228,0.199362353,0.003336769,10/2/19
117,74.60496852,482,95.03547072,212,34.20961157,0.817852656,0.996852892,0.334890951,0.00464197,10/2/19
118,84.40452109,541,103.0988262,212,27.84561505,0.894979414,0.983001846,0.974165831,0.011888409,10/2/19
119,96.15496205,609,110.8743032,212,-13.80541137,1.299819371,0.975044655,1.968051357,0.021005814,10/2/19
120,108.6549809,726,121.1802304,212,-1.696161945,1.134088574,0.976782383,1.875535736,0.017662161,10/2/19
121,142.5556398,0,120.122175,217,154.6754606,-0.237955621,0.959832501,1.568565067,0.011197021,10/2/19
122,13.10520961,112,88.91789864,217,87.67220979,0.095247178,0.874109135,0.039171162,0.003651349,10/2/19
123,32.70624286,180,91.2837204,217,87.13110158,0.111626636,0.983091383,0.113970203,0.003765767,10/2/19
124,51.05497521,272,95.82709223,217,83.26370593,0.240299406,0.955453441,0.432687831,0.008902731,10/2/19
125,58.45517274,351,97.92458101,217,73.0770053,0.424188779,0.97515192,0.383032852,0.006840005,10/2/19
126,68.50511081,430,101.4311354,217,67.06584985,0.502334015,0.985091293,0.412295169,0.006242539,10/2/19
127,87.55550097,482,107.8173463,217,58.58467763,0.565121192,0.935418887,1.276349715,0.014999551,10/2/19
128,104.5554112,541,113.6972119,217,84.85536233,0.2743552,0.902540396,0.929746605,0.00910708,10/2/19
129,114.2552328,609,117.0435003,217,67.45936447,0.433623836,0.968066978,0.889342135,0.007955499,10/2/19
130,122.3552237,726,119.5215336,217,53.43168758,0.542573066,0.890124893,2.308600307,0.019256146,10/2/19
131,144.1557985,0,151.2778538,218,211.3948896,-0.417116327,0.986921916,0.687237351,0.004850369,10/2/19
132,10.05567943,112,102.1962238,218,100.5317361,0.162748193,0.939685616,0.02148693,0.002784538,10/2/19
133,26.80498963,180,104.9707682,218,98.35749544,0.244758859,0.989864515,0.060977645,0.002501841,10/2/19
134,42.35542413,272,109.7190241,218,94.24665768,0.364700481,0.994179233,0.112492492,0.002818909,10/2/19
135,58.25565565,351,116.10914,218,90.92860701,0.431936119,0.995549862,0.162775091,0.00291717,10/2/19
136,72.45518336,430,122.7617586,218,86.96135576,0.49356974,0.994911529,0.249577442,0.003565635,10/2/19
137,84.50544038,482,129.8548203,218,77.01703599,0.624703078,0.99615728,0.321556723,0.003919368,10/2/19
138,103.1551641,541,140.0300303,218,83.55463697,0.543225485,0.995631691,0.529349734,0.005257187,10/2/19
139,111.3557029,609,143.8769746,218,94.24644826,0.445498692,0.991665547,0.449238323,0.004125621,10/2/19
140,121.6550525,726,148.7032929,218,94.21177193,0.447292763,0.991228407,0.506602864,0.004250414,10/2/19
141,143.5555157,0,87.97255887,219,101.3524956,-0.093119047,0.958913551,0.274709762,0.001947086,10/2/19
142,12.05519548,112,88.57859554,219,89.11640208,-0.040386187,0.811571748,0.019045062,0.001965755,10/2/19
143,18.10547465,180,88.47847174,219,88.83826621,-0.01955385,0.496268905,0.031237154,0.001990032,10/2/19
144,44.20563799,272,88.28759349,219,88.67324385,-0.008593547,0.151929591,0.085637709,0.002050946,10/2/19
145,56.50553403,351,88.28578411,219,87.12514909,0.021310783,0.489190816,0.118896441,0.002199766,10/2/19
146,70.40514098,430,88.46100965,219,87.75282148,0.009364019,0.202507751,0.12754196,0.001877118,10/2/19
147,82.50542461,482,88.54874902,219,87.31663974,0.014632052,0.412045072,0.14132438,0.001765598,10/2/19
148,102.4553524,541,88.73239342,219,87.69727247,0.009846582,0.746584852,0.487870514,0.004879157,10/2/19
149,115.8055118,609,88.89991262,219,87.31463324,0.013324326,0.293677087,0.236581134,0.002087367,10/2/19
150,127.1055631,726,88.94952068,219,87.24157669,0.01335696,0.278709586,0.270536967,0.00217057,10/2/19
151,144.104916,0,135.1190196,220,208.8599244,-0.511436105,0.98879222,0.779048081,0.005500291,10/2/19
152,9.855235042,112,91.3025048,220,90.91233823,0.047501878,0.717662204,0.022633278,0.003009693,10/2/19
153,29.45523825,180,94.11835337,220,86.99282733,0.240784184,0.981092694,0.091231107,0.003376562,10/2/19
154,50.70524172,272,101.5018096,220,76.70441394,0.490573604,0.991236681,0.224828283,0.004659473,10/2/19
155,63.00506048,351,107.3276351,220,74.62516512,0.517987453,0.993806649,0.250100236,0.004130647,10/2/19
156,68.40543366,430,110.1043911,220,74.85275441,0.515805694,0.993862319,0.270023287,0.004094606,10/2/19
157,81.10555341,482,116.7438051,220,70.92996481,0.564965496,0.992237852,0.396967601,0.005047682,10/2/19
158,96.50531544,541,124.5423512,220,69.90792664,0.566436558,0.989069846,0.56566177,0.006015031,10/2/19
159,113.3554828,609,132.5726073,220,73.24258853,0.523536556,0.990221219,0.582775694,0.005255454,10/2/19
160,123.0550509,726,136.6860889,220,74.2764181,0.507928841,0.986299496,0.729224375,0.006047191,10/2/19
161,142.9059521,0,112.4763535,221,164.7327529,-0.365930259,0.991573585,0.478550646,0.003407566,10/2/19
162,10.25515383,112,91.32412246,221,92.35626826,-0.103113366,0.947089654,0.019481443,0.002461936,10/2/19
163,25.20558052,180,91.10837834,221,90.48934771,0.02336134,0.873477719,0.074965443,0.00329141,10/2/19
164,50.70524172,272,94.3194128,221,82.14655345,0.241540534,0.971659841,0.2010644,0.004166976,10/2/19
165,56.90554517,351,95.55460203,221,82.69133793,0.2261451,0.989651787,0.127191785,0.002335961,10/2/19
166,73.35502867,430,98.41118573,221,81.51606368,0.230708437,0.975608766,0.261243472,0.003684932,10/2/19
167,80.95521108,482,100.2736182,221,79.51861871,0.256074416,0.989113509,0.213013996,0.002713776,10/2/19
168,104.5554112,541,108.2231618,221,77.19490168,0.296966946,0.981465943,0.4208508,0.00412233,10/2/19
