,,,,host_info if applicable,,,,,,sampling info if applicable,,,,Please place any additional columns you wish to add to the right of 'collection_depth',,,,,,
sample_name,fastq_fwd_file_name,fastq_rev_file_name,sample_type,host_phylum,host_class,host_order,host_family,host_genus,host_species,collection_latitude,collection_longitude,collection_date,collection_depth,colony_id,Bleach,,,,,
WSH117,WSH117_S99_L001_R1_001.fastq.gz,WSH117_S99_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,11,Bleach,,,,,
WSH086,WSH086_S71_L001_R1_001.fastq.gz,WSH086_S71_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,11,Bleach,,,,,
WSH125,WSH125_S100_L001_R1_001.fastq.gz,WSH125_S100_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,12,Non-bleach,,,,,
WSH095,WSH095_S84_L001_R1_001.fastq.gz,WSH095_S84_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,12,Non-bleach,,,,,
WSH127,WSH127_S124_L001_R1_001.fastq.gz,WSH127_S124_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,19,Bleach,,,,,
WSH102,WSH102_S109_L001_R1_001.fastq.gz,WSH102_S109_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,19,Bleach,,,,,
WSH128,WSH128_S136_L001_R1_001.fastq.gz,WSH128_S136_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,20,Non-bleach,,,,,
WSH091,WSH091_S36_L001_R1_001.fastq.gz,WSH091_S36_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,20,Non-bleach,,,,,
WSH116,WSH116_S182_L001_R1_001.fastq.gz,WSH116_S182_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,201,Bleach,,,,,
WSH085,WSH085_S59_L001_R1_001.fastq.gz,WSH085_S59_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,201,Bleach,,,,,
WSH118,WSH118_S111_L001_R1_001.fastq.gz,WSH118_S111_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,7/19/19,,202,Non-bleach,,,,,
WSH087,WSH087_S83_L001_R1_001.fastq.gz,WSH087_S83_L001_R2_001.fastq.gz,coral_field,cnidaria,anthozoa,scleractinia,acroporidate,montipora,capitata,,,12/4/19,,202,Non-bleach,,,,,
