sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
WSH117,185,-0.06835951952946503,-0.15059870262006733,-0.11781109094333383,-0.08447357272193474,0.0318874741842706,-0.014523324766913983,-0.030991338177946005,-0.002581551944574358,-9.130910904784763e-05,-0.0074074442952514205,-0.014921233486273918,0.006499189336154708,-0.0023202925630633896,-0.016305630122508803,0.021735445851684524,0.007134452754061847,0.0011320365237233532,-0.00034833851512036543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH086,186,-0.041864264101868165,-0.18680568567182843,-0.07230152052372137,-0.0752339636606587,0.022701196302598058,0.020797158224996237,-0.0015301756870511405,0.05121760015111612,-0.010266579380333965,-0.019955481058228162,-0.002794137648606391,-8.471638685443726e-05,-0.010413607256994755,-0.0015044788295418233,-0.011264662055872544,-0.008942866370032934,0.0033580945820123795,-0.0005940968406492978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH127,189,0.08532951671093421,0.07619938752789136,0.08124914010690361,0.04074475168809892,-0.05600531505237061,0.023596819794884448,-0.03529627639568264,0.022828944655122693,0.005882000414416261,0.008241220291107921,-0.03100945875536365,0.01571524822903648,-0.021465860337818974,-0.0016487714386722396,0.0006496416804194007,-0.018760367567990845,0.003217173418794217,0.0014905847415110386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH102,190,0.09878054906903698,0.0627721756758823,0.0830149910869797,0.04129208691811343,-0.03667541426581929,0.039887312762639585,0.0106118331894891,0.02301426305673459,0.004330510845886924,-5.4026192998923396e-05,-0.02160071385272033,-0.026804220682619607,0.00522052473196303,-0.001272974062365621,-0.0022427112288331773,0.006724251246955786,-0.0017544722991546938,-0.0014340692485012108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH128,191,-0.0868509401514467,0.061314449110205574,-0.0885133819771894,0.0681836869926611,-0.03539213357588264,-0.004240301279882599,0.040540183233630255,-0.013807579623661857,-0.029752494583334788,0.012276930568674415,-0.02108926600699269,0.011663775474049499,0.02427116115263285,-0.001033419943986808,-0.001532145182147465,0.003851185648661956,0.004445091718441635,-0.0007298413905446829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH116,193,0.18143762052087878,0.025292158365751192,0.0732720844343561,0.005540768481918614,-0.00418000265628696,-0.02895695600302245,-0.023348489297716133,-0.002546881551095784,0.036194432802334434,0.011190809960361585,0.015151579251397002,0.027428006590637582,-0.004008632747472786,-0.004261316957758192,0.0023652032532688987,0.017715377803451244,0.0032610586717346252,-0.0017735180366926357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH085,194,0.16817771379834087,0.01092783372021781,0.059030913913514726,0.01285612528216935,-0.03863425035371928,-0.0018044075354331627,0.025961763846798738,0.0018674122889165967,0.03820630056073208,-0.016329718041873366,0.023000058254173096,0.02110211900207584,0.024478811448527912,-0.002969190314170987,0.003650320574148409,-0.009571347833061227,-0.00643313634612837,-0.00014524533668276563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH118,195,0.03274532344861311,0.16673176271372925,-0.07165578432663323,-0.12276270440985863,-0.10692380241112333,-0.07807643449835432,0.00014401334039919274,0.007177713776649594,-0.021523982569791163,-0.00836194191007694,0.016106306943585783,-0.009085689220077306,-0.008937422895014134,0.005467097311365861,0.0025600280219397996,-0.0030295795892718615,-0.0010662333928542443,-0.0002373324088113429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH087,196,-0.0077038337938665396,-0.03572644740287847,-0.15451577896934307,-0.10834601807936527,-0.02101956202419985,0.03844670198470686,0.007269295528908352,-0.0478702565032955,-0.02016743177012205,0.007166218541417987,0.004506875219292866,0.009082443673393047,0.00998976628804316,0.007745392332983868,-0.014707529690291243,-0.002258021863628563,-0.002767593109011474,0.0005458854983221565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH110,197,-0.11135025515577314,-0.10975676648922728,-0.004003819682995839,0.03183239918360452,-0.012081392034328493,0.027252788957377205,0.0037987177236299048,-0.015233248195753361,0.0031776796356574647,0.01998146055765114,-0.015055434440651553,-0.011472640218891748,-0.008379666577616183,0.02098134969749219,0.017622524041883934,-0.004594611742430846,-0.004845690410906881,-0.0026156908921830075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH104,198,-0.08899505674908877,-0.11381039978902885,-0.012094241473970927,0.024291232897916182,-0.012678770134785463,0.030690508204910205,0.01540374342977822,0.008241811540769776,0.01833681645021782,0.023254440394805197,0.008584225120119995,0.021916769911410953,0.018903254904392486,-0.010428053053292446,0.0016599114157523692,-0.005128230498644903,0.0006647220167063411,0.0030177408055216738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH120,199,-0.043787079219475056,0.12149854315275992,-0.13225268479933222,0.12003562075865497,0.011500270135240269,-0.001945737473128023,-0.10452760401614074,-0.029445819822337883,0.020101060090481692,0.0053030151297981986,0.0035942905571848525,-0.011673894401933825,0.01227789342913324,0.0014430844362386735,-0.0014239068310757446,-0.002918526746817843,-0.0007227505500526653,0.00030525260706967653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH112,201,-0.2414243753523348,0.041444238746333656,0.09815266170079473,-0.06984721398240652,0.011354249565819527,-0.00038196542001611586,-0.02401594079514732,-0.003262899176825585,0.010166784048900772,0.012969384028919475,0.014910967365330548,-0.010478362404365494,0.0035286655217172547,0.006998029009170853,-0.0009736800830694034,-0.004190177657293413,0.011066203587265325,0.0026530728049016772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
