sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
WSH117,185,0.03173721207041948,-0.10426488951764955,-0.4748294075141586,-0.04062002356093727,-0.02820956281986043,0.05284683295997432,0.09004794266632099,0.01488106719007502,-0.019667029795101165,-0.03248103138183683,0.009669955204790732,-0.007136234544493778,0.0015323165308217077,-0.0007384003411628567,0.00025213452879743677,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH086,186,0.16570758047180717,-0.15293836061524482,-0.4023918104672441,-0.0409051024996469,-0.030797871963436155,-0.05853464937839928,0.020463152804362415,-0.061395682809773096,0.004793871652102041,0.02038888234644898,0.002070405821706254,0.010639817809573706,-0.002569850649213992,-0.0001501573138712729,0.00030039143425339854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH127,189,0.1639762989786709,0.048140062755482015,0.33310923514857677,-0.04177066827704487,0.024323352840645213,0.007658522946951772,0.04519048628334714,-0.005246164837580408,-0.019915444373711542,0.024614154456225668,0.01123547283869614,0.00603379180110508,-0.009803228887930705,0.011378185862011342,-0.0062245067436561986,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH102,190,0.1729652070882073,0.06520534685847111,0.31155879368070805,-0.030219849820679413,-0.007013009980735762,-0.0037303280378658582,0.01878294611301512,0.03272989064433322,0.03169248743155683,0.0007643021587258791,-0.006610083802135465,-0.0008181384116673859,0.01220624189349608,-0.009767151509282512,0.005770970572074033,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH128,191,-0.35415853566136435,0.026432518623259408,0.06796017377317298,0.09934021121184271,-0.05123635094364287,0.06246223665614295,-0.013219519441701423,0.03141378260982447,0.06810941147396317,-0.001962487123463943,0.009351819581401058,0.008523675874715593,-0.0069901085156194465,-0.0016291370835129168,0.0008474836622353484,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH116,193,0.2190831591040089,0.16858674961422435,0.0893810492407584,0.012666189631729554,0.07150225701587085,-0.024091455662654006,-0.012203146308174762,0.006147771801844614,-0.0018590786570362892,0.007110495561977394,-0.013495922504706999,-0.02429516919161423,-0.02701657566990122,0.011484017508031276,-0.0003683211505879035,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH085,194,0.20346339139538677,0.15711999538781152,0.11661407942286019,0.03140903493700939,0.07804080381619288,-0.045261702853280544,-0.009326920922240599,0.006642915495211633,-0.026418654939130568,-0.01352228973333325,0.00766811116825221,0.012278242024735353,0.01692068091140181,-0.014208692921386424,0.002553690360078564,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH118,195,-0.40497539802561144,0.2350666160050915,-0.1407157132832391,0.08540514168445482,0.20361514835106662,-0.01139981674255632,0.01588090554284361,-0.008551195887771458,0.007799444722518309,0.008918938495808144,0.00916366881460728,0.006041833560323416,0.0008123650836405922,-0.002810035791628862,0.0017029699327598803,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH087,196,-0.27987592269697614,0.08746357249100328,-0.35720323407318405,-0.04751642804071963,-0.009424156116357251,0.07358568126976685,-0.07255582236442637,0.017859363472664515,0.00022993407152472516,0.04836329146223364,-0.004691099595956819,0.005539472949717623,-0.0028417664878393214,-0.0009693496917245123,-0.0006799833277498185,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH110,197,0.043597351728066946,-0.20536539873687004,-0.06144510666653191,0.07991655013873654,-0.040805135676360994,-0.04971311338201294,-0.01443550256252109,0.06170295672481324,-0.03472508723859056,0.04277812209465515,0.017237684197457775,-0.0006758667546673106,0.004368692109898686,0.009386376457237186,0.015176723096979403,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH104,198,0.05196149324302668,-0.1723244463910848,-0.0631342822180411,0.06935145376964767,-0.025560859954706625,-0.055281809143201716,-0.026728170285801163,0.04227590793780768,-0.02976254377222182,-0.0013346151451454555,0.010598178341602604,-0.0047392434421615745,-0.012053471992526515,-0.018540095000214883,-0.011371651588950107,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH120,199,-0.45087519866391057,0.20262200351740828,0.11194652580290296,0.16651106327488313,-0.07336348853749448,-0.06416883961707592,-0.009261091509997932,0.05889650169990941,-0.04354083529697797,-0.015938079336951478,-0.004120294547962506,-0.007139974841493944,0.003502173990682133,0.005842842057202497,-0.0016371320459632214,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH112,201,-0.020537519006009752,-0.4016404629129008,0.09420727562542922,-0.11842830182232374,-0.004324974166506046,0.006770568774649198,-0.025962038091941628,-0.023590830020970583,-0.032651611186568105,0.020757582219041275,-0.00715321535441766,-0.01736983986179398,0.01545348529190812,0.005670569381868312,-0.0027632980798257527,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH092,202,0.00041587751338256095,-0.4578579672928607,0.057008088135462126,-0.17490673254007633,0.008845510755678392,-0.04433408178071931,0.04051784569007001,0.024864696949156384,0.019191160099244688,-0.04957488791667089,0.0033959443767063277,0.00117954523416448,0.0014176326005099567,0.011345964120423645,0.0018360673265204676,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH115,203,0.10101581467843196,-0.10683913992363943,-0.004060234404379252,0.1651488520250484,-0.019550900121470073,0.009030531730992282,0.011783981050321208,-0.01608032059981339,-0.019594903753857865,-0.04452408310865977,-0.026037996046832452,0.03009895761270627,-0.0244600231769564,0.002184917480134814,0.0005200803673654623,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH107,204,-0.010342475217037215,-0.4071567110859188,0.10903271904561813,-0.12496123009991081,0.019392468792402907,0.012134354666486418,-0.04429737630695556,-0.01270074049937749,-0.02267331790840669,0.01509863399452957,-0.0018885080202644575,0.01284092376133262,-0.016524465253612685,-0.01956521816433777,0.0006107881740342379,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH122,205,0.2847449385304278,0.24489964889735566,0.021890037007567163,-0.0423683911077006,-0.0329991290720122,-0.0027450146296978174,0.009314504396254905,0.0018642386835184964,0.0006617960697124136,0.03564506738746681,-0.043358206650096265,0.021544978928331845,0.014380632277160134,0.006684485252669631,-0.000967614808081266,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH105,206,0.2316323604154143,0.307464491875517,-0.00898056872091785,-0.04865817688203938,0.009840874773506493,0.14087457322979835,0.07559755201551065,0.05306233539891034,-0.033353926416445204,0.00024383537294438233,-0.004022137754955188,-0.010712543502791673,0.0008197226583729169,-0.005498300159952705,-0.0003257179797840308,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH119,209,0.20681761985909955,-0.0013493058002285608,-0.209431921681731,-0.12143425231965799,0.058029918428490104,-0.07309050776323049,-0.02997491726570958,0.07005823238260492,0.058221033313111376,-0.015033503784770596,-0.011208113881116056,-0.0028275750106928955,0.002243542621052249,0.004109277805553944,-0.0008941575837591519,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH088,210,-0.39790050802593785,0.6002954958308347,-0.07878740675537206,-0.1351431078148547,-0.06831422693077926,-0.059110754695046175,-0.01622210897800905,-0.0361576713346594,0.010607887422297416,-0.023092146430015954,-0.0025015714380817993,-0.003218340276780083,0.0014903337723491564,0.0018167477968303535,-7.711884418539009e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH109,213,0.0690264945896561,-0.1793956319474594,0.09745063292304847,0.11954103174159665,-0.021193212230223923,0.030726437938258647,0.025061404154509605,-0.031231812829713067,0.04814848483747843,0.007842453491340584,0.009825347376500827,0.0037892349077022825,0.00014965859804408409,-0.0006170431731226678,0.015485024479300231,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH094,216,0.061903143297659946,-0.19994477477759567,0.06158778247617438,0.11345443157788104,-0.02618881140234303,0.01090344079939599,0.01750720997740538,0.003297673605642701,0.06653300910955977,0.02378531612305982,0.0025168140253122397,-0.011250551042491263,0.0034310876738048437,-0.001992810304365091,-0.017416398434692438,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH121,217,0.35992162094886804,0.326647430261692,0.06048607898624987,-0.05696711753645647,-0.023818842479589396,0.009418983665394537,-0.032947056699547575,-0.03504846754505744,-0.002974139592677647,0.0029811825958734293,0.036935634390224965,0.006873202678756089,-0.010883777911308982,0.020195994048877137,-0.0023614611866548505,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH101,218,0.3592444963534555,0.32322514682498465,0.057593745936342935,-0.055188345488792076,-0.052110573474151815,-0.0034183674068887894,-0.03569332523852794,-0.03346892467684832,0.00636704127390968,-0.020098227124248136,0.011583889337654793,-0.008625223981453416,0.002270648438613067,-0.023889168435321788,0.003046959727768862,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH114,219,-0.4882095998963403,-0.16344517272403578,0.18144724160980397,-0.13336157506214244,0.016491419820455995,0.0903463582828392,-0.07210349328384523,-0.007181195390146835,-0.010654908968705419,-0.032740409454632656,-0.001631051019013821,0.0031673247785357407,0.003821287421522052,0.006621889784809985,0.0008118978275597289,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH096,220,-0.5745192056657024,-0.024805918604226748,0.14721499344601646,-0.050525732117107154,-0.012441637363890493,-0.05116699982608466,0.10628923503159358,-0.05531295342914311,-0.005871512013146553,0.02819610177094785,-0.0037310305732367716,-0.005140356179573593,-0.001742674769279189,-0.006661775185013058,-0.0006516657184124602,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH113,221,0.12035960371529152,-0.11135965970944178,-0.04613024258205199,0.1601972587030273,0.022721519847763716,0.020812444184587227,-0.021816831184333405,-0.035867244810921184,-0.01638163843972886,-0.021428013586061938,0.009136847761334126,0.011647718900450705,0.029459144959092583,0.008528746383645328,-0.00961923040900107,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH108,222,0.13382069887760928,-0.1044812389039794,-0.07137852389384146,0.16003381629423222,0.01454946879149099,0.018476473813475253,-0.03968984528182208,-0.06386412992454149,-0.00231092912467112,-0.01575858540548309,-0.019940542047479824,-0.03624966378045788,0.0006062964818058544,0.0017873211356129997,0.006443076411580965,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.3795319778933561,0.3220798496313983,0.18273543531580205,0.05702273404751311,0.015666841205069785,0.01384162094230609,0.009866427153066614,0.007350388834611267,0.004899030503935658,0.0033922229258829405,0.0011588909203531475,0.000941815440728826,0.0007441618008420264,0.000546112476346814,0.00022249090878734114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
