host_subject_id,filename1,filename2
WSH085,WSH085_S59_L001_R1_001.fastq.gz,WSH085_S59_L001_R2_001.fastq.gz
WSH086,WSH086_S71_L001_R1_001.fastq.gz,WSH086_S71_L001_R2_001.fastq.gz
WSH087,WSH087_S83_L001_R1_001.fastq.gz,WSH087_S83_L001_R2_001.fastq.gz
WSH088,WSH088_S95_L001_R1_001.fastq.gz,WSH088_S95_L001_R2_001.fastq.gz
WSH089,WSH089_S12_L001_R1_001.fastq.gz,WSH089_S12_L001_R2_001.fastq.gz
WSH090,WSH090_S24_L001_R1_001.fastq.gz,WSH090_S24_L001_R2_001.fastq.gz
WSH091,WSH091_S36_L001_R1_001.fastq.gz,WSH091_S36_L001_R2_001.fastq.gz
WSH092,WSH092_S48_L001_R1_001.fastq.gz,WSH092_S48_L001_R2_001.fastq.gz
WSH093,WSH093_S60_L001_R1_001.fastq.gz,WSH093_S60_L001_R2_001.fastq.gz
WSH094,WSH094_S72_L001_R1_001.fastq.gz,WSH094_S72_L001_R2_001.fastq.gz
WSH095,WSH095_S84_L001_R1_001.fastq.gz,WSH095_S84_L001_R2_001.fastq.gz
WSH096,WSH096_S96_L001_R1_001.fastq.gz,WSH096_S96_L001_R2_001.fastq.gz
WSH101,WSH101_S97_L001_R1_001.fastq.gz,WSH101_S97_L001_R2_001.fastq.gz
WSH102,WSH102_S109_L001_R1_001.fastq.gz,WSH102_S109_L001_R2_001.fastq.gz
WSH103,WSH103_S121_L001_R1_001.fastq.gz,WSH103_S121_L001_R2_001.fastq.gz
WSH104,WSH104_S133_L001_R1_001.fastq.gz,WSH104_S133_L001_R2_001.fastq.gz
WSH105,WSH105_S145_L001_R1_001.fastq.gz,WSH105_S145_L001_R2_001.fastq.gz
WSH106,WSH106_S157_L001_R1_001.fastq.gz,WSH106_S157_L001_R2_001.fastq.gz
WSH107,WSH107_S169_L001_R1_001.fastq.gz,WSH107_S169_L001_R2_001.fastq.gz
WSH108,WSH108_S181_L001_R1_001.fastq.gz,WSH108_S181_L001_R2_001.fastq.gz
WSH109,WSH109_S98_L001_R1_001.fastq.gz,WSH109_S98_L001_R2_001.fastq.gz
WSH110,WSH110_S110_L001_R1_001.fastq.gz,WSH110_S110_L001_R2_001.fastq.gz
WSH111,WSH111_S122_L001_R1_001.fastq.gz,WSH111_S122_L001_R2_001.fastq.gz
WSH112,WSH112_S134_L001_R1_001.fastq.gz,WSH112_S134_L001_R2_001.fastq.gz
WSH113,WSH113_S146_L001_R1_001.fastq.gz,WSH113_S146_L001_R2_001.fastq.gz
WSH114,WSH114_S158_L001_R1_001.fastq.gz,WSH114_S158_L001_R2_001.fastq.gz
WSH115,WSH115_S170_L001_R1_001.fastq.gz,WSH115_S170_L001_R2_001.fastq.gz
WSH116,WSH116_S182_L001_R1_001.fastq.gz,WSH116_S182_L001_R2_001.fastq.gz
WSH117,WSH117_S99_L001_R1_001.fastq.gz,WSH117_S99_L001_R2_001.fastq.gz
WSH118,WSH118_S111_L001_R1_001.fastq.gz,WSH118_S111_L001_R2_001.fastq.gz
WSH119,WSH119_S123_L001_R1_001.fastq.gz,WSH119_S123_L001_R2_001.fastq.gz
WSH120,WSH120_S135_L001_R1_001.fastq.gz,WSH120_S135_L001_R2_001.fastq.gz
WSH121,WSH121_S147_L001_R1_001.fastq.gz,WSH121_S147_L001_R2_001.fastq.gz
WSH122,WSH122_S159_L001_R1_001.fastq.gz,WSH122_S159_L001_R2_001.fastq.gz
WSH123,WSH123_S171_L001_R1_001.fastq.gz,WSH123_S171_L001_R2_001.fastq.gz
WSH124,WSH124_S183_L001_R1_001.fastq.gz,WSH124_S183_L001_R2_001.fastq.gz
WSH125,WSH125_S100_L001_R1_001.fastq.gz,WSH125_S100_L001_R2_001.fastq.gz
WSH126,WSH126_S112_L001_R1_001.fastq.gz,WSH126_S112_L001_R2_001.fastq.gz
WSH127,WSH127_S124_L001_R1_001.fastq.gz,WSH127_S124_L001_R2_001.fastq.gz
WSH128,WSH128_S136_L001_R1_001.fastq.gz,WSH128_S136_L001_R2_001.fastq.gz
