sample,analysis_type_uid,PC1,PC2,PC3
C31-C17d-C31.1-C21-C31a-1373,8,0.10434669808974094,-0.0306331941269148,0.0
C31/C17d-C21-C21ac,6,-0.14257109923091646,-0.011203471072975795,0.0
C31-C17d-C21-C31.1-C31a-C17e,7,0.03822440114117544,0.041836665199890516,0.0
proportion_explained,0,0.9207041117299436,0.07929588827005633,0.0
