Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
3258954,20/10/19 9:01:11,0.000,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,82.280,µmol/L,26.689,¡C,1018.000,hPa,Humid,34,0
3258964,20/10/19 9:01:14,0.048,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,82.194,µmol/L,26.676,¡C,1018.000,hPa,Humid,34,0
3258974,20/10/19 9:01:17,0.098,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,82.030,µmol/L,26.685,¡C,1018.000,hPa,Humid,34,0
3258984,20/10/19 9:01:20,0.148,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.909,µmol/L,26.686,¡C,1018.000,hPa,Humid,34,0
3258995,20/10/19 9:01:23,0.199,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.887,µmol/L,26.676,¡C,1018.000,hPa,Humid,34,0
3259005,20/10/19 9:01:26,0.248,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.770,µmol/L,26.668,¡C,1018.000,hPa,Humid,34,0
3259015,20/10/19 9:01:29,0.298,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.605,µmol/L,26.670,¡C,1018.000,hPa,Humid,34,0
3259025,20/10/19 9:01:32,0.348,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.500,µmol/L,26.679,¡C,1018.000,hPa,Humid,34,0
3259035,20/10/19 9:01:35,0.398,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.455,µmol/L,26.663,¡C,1018.000,hPa,Humid,34,0
3259045,20/10/19 9:01:38,0.448,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.358,µmol/L,26.666,¡C,1018.000,hPa,Humid,34,0
3259054,20/10/19 9:01:41,0.498,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.303,µmol/L,26.668,¡C,1018.000,hPa,Humid,34,0
3259064,20/10/19 9:01:44,0.548,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.237,µmol/L,26.659,¡C,1018.000,hPa,Humid,34,0
3259074,20/10/19 9:01:47,0.598,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.181,µmol/L,26.662,¡C,1018.000,hPa,Humid,34,0
3259085,20/10/19 9:01:50,0.648,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.103,µmol/L,26.662,¡C,1018.000,hPa,Humid,34,0
3259094,20/10/19 9:01:53,0.699,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,81.080,µmol/L,26.645,¡C,1018.000,hPa,Humid,34,0
3259104,20/10/19 9:01:56,0.748,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.976,µmol/L,26.665,¡C,1018.000,hPa,Humid,34,0
3259114,20/10/19 9:01:59,0.799,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.863,µmol/L,26.659,¡C,1018.000,hPa,Humid,34,0
3259125,20/10/19 9:02:02,0.848,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.845,µmol/L,26.662,¡C,1018.000,hPa,Humid,34,0
3259135,20/10/19 9:02:05,0.898,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.704,µmol/L,26.678,¡C,1018.000,hPa,Humid,34,0
3259145,20/10/19 9:02:08,0.948,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.687,µmol/L,26.662,¡C,1018.000,hPa,Humid,34,0
3259154,20/10/19 9:02:11,0.998,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.638,µmol/L,26.670,¡C,1018.000,hPa,Humid,34,0
3259165,20/10/19 9:02:14,1.048,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.571,µmol/L,26.665,¡C,1018.000,hPa,Humid,34,0
3259175,20/10/19 9:02:17,1.098,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.569,µmol/L,26.666,¡C,1018.000,hPa,Humid,34,0
3259185,20/10/19 9:02:20,1.149,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.512,µmol/L,26.658,¡C,1018.000,hPa,Humid,34,0
3259195,20/10/19 9:02:23,1.199,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.458,µmol/L,26.649,¡C,1018.000,hPa,Humid,34,0
3259205,20/10/19 9:02:26,1.248,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.450,µmol/L,26.656,¡C,1018.000,hPa,Humid,34,0
3259215,20/10/19 9:02:29,1.298,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.388,µmol/L,26.657,¡C,1018.000,hPa,Humid,34,0
3259225,20/10/19 9:02:32,1.348,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.403,µmol/L,26.648,¡C,1018.000,hPa,Humid,34,0
3259234,20/10/19 9:02:35,1.398,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.261,µmol/L,26.668,¡C,1018.000,hPa,Humid,34,0
3259244,20/10/19 9:02:38,1.448,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.204,µmol/L,26.660,¡C,1018.000,hPa,Humid,34,0
3259255,20/10/19 9:02:41,1.498,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.233,µmol/L,26.642,¡C,1018.000,hPa,Humid,34,0
3259264,20/10/19 9:02:44,1.549,SABD0000000003 (OXY-10 ST),7,Gates7 (PSt7-10),19/10/19 8:02:55,default,80.174,µmol/L,26.653,¡C,1018.000,hPa,Humid,34,0
